+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1023]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1019]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[993]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1022]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[995]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[998]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1020]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1016]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1009]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1017]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1011]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1024]/D|
|              sys_clk_pin |              sys_clk_pin |                                       phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[1013]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[996]/D|
