rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,0,6714218,6688931,6566107,6611453,6542839,6595208,6586264,6568082,6646629,6538520,6638855,6577732,6492018,6602507,6575749,6505142,6543918,6501905,6523951,6402200
1,0,1,0,6727147,6702051,6578988,6625202,6555166,6607960,6599428,6581755,6660140,6551344,6652461,6591754,6505384,6616454,6589538,6518958,6557698,6515489,6536872,6415846
2,31,1,0,6715226,6690767,6566953,6614496,6543860,6596121,6587322,6569455,6647694,6539696,6640061,6579313,6493518,6604348,6576970,6506623,6545000,6502337,6524591,6403745
3,0,1,0,6727083,6702925,6578550,6626419,6555630,6609197,6599934,6581631,6659249,6552280,6652880,6592982,6505486,6616422,6589316,6520028,6558190,6515009,6537153,6415217
4,31,1,0,6714570,6689533,6566129,6613672,6543676,6596526,6587463,6568972,6646633,6538705,6639905,6579849,6492852,6604247,6576748,6508420,6544853,6501545,6523915,6403018
5,0,1,0,6726880,6702038,6578192,6626267,6556363,6609291,6600160,6581783,6660206,6551841,6653044,6592238,6505896,6616698,6589356,6521226,6558872,6515126,6537385,6415781
6,31,1,0,6714789,6690044,6566181,6614203,6544480,6596355,6588143,6569687,6647543,6539476,6639878,6579554,6494179,6604161,6576211,6508975,6545715,6502392,6524785,6403980
7,0,1,0,6726649,6701605,6578247,6626432,6555468,6607915,6600104,6581918,6659626,6551902,6652607,6591802,6505704,6615701,6588711,6521278,6558053,6514302,6537334,6415158
8,31,1,0,6715474,6690238,6566723,6615551,6543710,6597323,6588340,6570846,6648492,6540370,6640463,6580343,6494082,6604822,6576997,6509455,6545014,6502417,6525196,6403199
9,0,1,0,6727657,6701942,6578391,6627551,6555793,6609027,6600001,6582595,6660191,6552541,6653210,6592742,6505837,6616145,6588546,6521625,6558290,6515615,6538373,6415155
10,31,1,0,6715051,6689530,6565993,6614670,6542813,6596228,6587490,6570089,6647164,6539363,6640087,6579595,6492947,6603597,6575589,6507814,6544992,6502240,6525290,6402970
11,0,1,0,6726940,6701303,6577969,6626884,6555042,6609051,6600033,6582183,6659742,6551380,6653214,6591963,6505302,6616239,6588694,6520519,6556870,6513982,6537043,6414961
12,31,1,0,6715858,6689443,6566966,6614279,6543475,6597128,6587915,6570479,6647185,6539720,6640555,6579984,6493211,6603698,6577237,6508550,6545276,6502358,6525614,6403516
13,0,1,0,6727926,6702070,6578569,6626785,6555773,6609709,6601028,6583110,6659742,6552400,6653113,6592742,6506027,6617516,6590307,6522044,6558652,6515461,6537908,6416716
14,31,1,0,6715817,6689598,6565981,6613926,6543047,6597553,6587774,6570229,6647093,6539472,6639652,6580033,6492844,6604266,6576817,6507959,6544956,6502330,6525040,6403486
15,0,1,0,6726893,6700769,6577007,6625821,6554964,6608182,6599793,6582151,6658694,6551632,6652216,6591818,6503632,6616106,6588705,6520147,6556699,6514070,6537514,6415007
16,31,1,0,6715382,6689517,6565794,6614238,6543404,6596038,6587022,6570069,6646920,6539962,6639666,6579677,6492113,6603313,6576302,6508113,6543813,6501822,6524369,6402429
17,0,1,0,6727564,6701675,6577810,6626808,6555385,6608182,6599881,6582299,6658977,6552761,6652053,6591844,6504971,6616357,6588804,6520612,6556894,6514644,6537056,6415105
18,31,1,0,6715175,6689575,6565719,6614703,6543255,6596294,6587283,6570233,6646422,6540137,6639768,6579574,6493224,6603776,6576024,6507876,6543405,6501829,6524848,6403011
19,0,1,0,6727537,6701895,6577887,6625723,6555029,6607918,6599917,6582224,6659037,6552695,6652775,6592091,6504997,6615513,6587981,6520350,6556711,6514551,6536762,6415160
20,31,1,0,6714917,6689245,6565471,6612947,6542779,6594703,6587431,6569780,6646819,6539255,6639964,6578524,6492496,6603913,6575949,6506714,6544122,6501556,6524187,6403077
21,0,1,0,6727068,6701328,6577905,6625841,6554203,6607493,6600114,6582011,6659929,6551959,6652982,6590829,6504678,6615273,6588552,6520215,6557532,6514228,6537749,6415957
22,31,1,0,6715268,6689481,6566231,6614474,6542684,6595988,6588247,6569502,6647355,6540428,6640402,6579328,6492561,6603237,6576161,6507831,6545186,6501991,6525573,6403184
23,0,1,0,6727245,6700716,6578146,6626480,6555262,6608043,6599577,6581832,6658892,6551974,6652875,6591596,6504743,6615437,6589118,6519916,6557499,6514282,6537657,6414957
24,31,1,0,6715680,6689203,6566263,6614894,6544044,6596103,6587415,6569924,6646895,6539668,6640800,6579924,6493329,6604248,6577257,6507845,6545211,6502870,6525623,6404169
25,0,1,0,6727359,6701218,6578136,6626250,6555457,6607418,6599129,6581469,6659512,6551928,6653077,6592123,6505278,6615676,6588857,6520373,6557134,6514581,6537830,6416043
26,31,1,0,6714301,6688698,6565808,6614136,6544076,6595794,6586931,6570074,6647327,6539977,6641161,6579511,6493205,6603821,6576674,6508290,6544578,6501924,6525874,6403727
27,0,1,0,6727106,6701555,6578280,6626627,6556398,6608537,6599379,6582464,6659744,6551923,6653673,6591617,6505389,6615711,6589630,6521735,6558406,6514910,6538188,6415990
28,31,1,0,6714154,6689201,6565778,6613602,6543188,6595270,6586848,6569259,6646787,6539133,6639824,6578810,6492801,6602159,6576115,6508113,6544578,6501883,6524585,6403321
29,0,1,0,6726773,6701874,6578156,6625839,6555726,6607438,6598697,6581484,6659541,6551702,6651965,6591063,6504792,6614879,6588944,6520893,6556851,6514107,6537402,6415834
30,31,1,0,6714487,6690262,6565612,6614210,6543727,6595526,6586713,6568951,6647361,6539257,6639602,6578784,6492304,6602443,6575658,6507839,6543116,6501916,6524640,6403405
31,0,1,0,6727590,6702035,6577940,6627234,6556378,6608603,6599301,6581679,6660048,6552293,6653162,6591609,6505457,6615226,6588399,6521546,6556786,6514728,6537798,6416326
32,31,1,0,6714420,6689248,6565984,6614674,6544205,6595639,6586655,6568945,6647324,6538930,6639885,6579314,6492350,6603023,6575125,6508566,6543812,6501756,6525102,6403318
33,0,1,0,6726857,6700524,6577677,6625775,6555792,6607818,6598540,6580952,6659213,6551715,6652843,6591590,6504467,6615249,6588766,6520969,6556889,6514461,6537290,6415703
34,31,1,0,6715002,6688193,6566021,6613636,6543625,6595446,6586613,6569198,6647037,6539078,6639784,6578777,6492855,6603219,6576350,6508041,6544975,6501952,6524960,6403273
35,0,1,0,6727969,6700577,6578472,6626668,6555867,6607109,6598917,6581447,6660047,6552063,6653820,6592008,6504522,6616267,6588505,6521031,6557445,6515380,6538097,6416206
36,31,1,0,6714297,6687508,6566142,6614203,6543059,6594843,6586013,6568541,6646953,6539082,6640833,6578762,6492115,6602745,6575220,6507310,6544098,6501710,6524983,6403335
37,0,1,0,6727857,6699889,6579082,6627138,6555450,6607962,6599779,6581609,6659660,6552168,6653313,6592382,6505198,6615371,6589356,6520950,6558267,6515027,6538477,6416637
38,31,1,0,6716478,6689303,6566720,6614568,6543737,6596116,6587102,6569844,6647667,6539800,6640249,6579897,6492647,6602846,6576673,6508265,6545678,6502853,6526046,6404048
39,0,1,0,6727096,6700102,6577661,6626280,6555050,6607461,6598636,6580781,6659328,6551893,6652665,6591354,6504853,6615382,6589283,6520263,6557936,6514279,6537750,6415710
40,31,1,0,6714399,6687391,6565679,6613920,6542786,6594896,6586922,6568400,6646729,6539558,6639649,6578947,6492004,6603066,6575825,6507180,6544789,6500270,6524602,6403173
41,0,1,0,6726608,6699824,6577747,6626781,6555471,6607524,6599349,6581028,6659559,6551701,6652759,6591727,6504924,6615768,6588648,6520121,6557091,6513278,6537692,6415640
42,31,1,0,6715670,6688301,6566354,6615285,6543685,6596213,6587963,6569154,6647564,6539396,6640710,6579536,6492703,6603505,6576883,6508164,6545262,6501643,6524905,6403849
43,0,1,0,6728662,6700933,6578467,6627740,6556147,6608878,6600599,6581830,6660618,6552157,6653040,6592095,6505050,6616537,6589453,6521238,6558170,6514837,6537441,6416294
44,31,1,0,6715880,6688390,6566524,6614688,6543780,6596399,6587536,6569187,6647742,6539806,6640065,6579302,6492691,6604340,6576446,6507779,6545797,6502119,6524674,6403983
45,0,1,0,6728853,6701633,6579154,6627021,6556252,6609256,6600659,6582396,6660515,6553313,6653778,6592591,6506776,6616980,6589964,6521682,6559804,6515626,6538366,6417344
46,31,1,0,6716064,6688344,6566533,6613941,6543935,6596497,6587925,6569099,6647454,6539975,6640576,6579251,6493144,6603843,6575980,6507912,6545836,6501586,6525030,6403794
47,0,1,0,6728143,6700919,6577955,6626657,6555872,6608652,6599812,6581164,6660206,6552741,6653025,6591692,6505549,6615913,6589089,6520875,6558364,6514382,6537899,6416350
48,31,1,0,6716043,6688649,6566043,6613329,6545046,6596920,6587850,6569691,6648048,6540518,6639230,6579363,6493490,6604014,6576621,6507693,6545545,6502176,6525650,6404650
49,0,1,0,6727635,6701298,6579310,6626771,6557296,6609542,6601065,6582853,6660911,6553552,6652953,6592494,6506640,6616461,6590672,6521172,6559383,6514734,6538747,6417012
50,31,1,0,6714801,6688641,6566898,6614034,6544185,6596330,6587850,6569680,6647014,6540271,6639455,6579840,6493245,6603378,6577709,6507762,6546183,6502264,6525182,6403952
51,0,1,0,6728025,6701802,6578961,6627100,6556992,6609600,6600756,6582424,6660842,6552606,6653399,6592485,6506220,6616513,6591191,6520869,6559026,6515358,6538268,6416354
52,31,1,0,6713901,6688534,6566273,6614216,6544138,6595983,6586943,6568820,6647490,6539216,6639708,6578583,6493019,6603795,6576370,6506995,6545036,6501659,6524485,6402760
53,0,1,0,6726313,6700704,6578458,6625988,6555771,6608411,6599102,6581326,6659534,6552462,6651845,6591022,6504995,6616107,6588369,6519650,6558741,6514330,6537551,6415373
54,31,1,0,6714218,6688630,6566230,6613783,6543683,6595782,6587058,6568246,6647041,6540214,6639254,6578524,6493507,6602719,6575920,6507298,6545562,6500627,6524712,6403606
55,0,1,0,6728260,6702136,6578735,6627095,6556489,6609512,6601071,6581455,6660735,6553611,6653311,6591809,6507016,6616986,6589321,6520802,6558794,6514747,6538397,6417197
56,31,1,0,6715485,6688733,6566523,6614171,6544231,6597119,6588103,6568812,6647634,6540400,6640290,6578588,6492852,6603173,6576394,6507212,6545756,6501990,6525293,6403779
57,0,1,0,6727648,6700788,6578417,6626354,6556377,6609070,6600274,6581209,6660414,6553537,6653477,6591560,6505222,6615236,6589685,6520656,6558803,6514495,6537395,6416256
