rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6716656,6688540,6565893,6610408,6542467,6596211,6588536,6566715,6646870,6540874,6640173,6577439,6491845,6604053,6574968,6506761,6546272,6500874,6523200,6404458
1,0,0,0,6728838,6700686,6578620,6622943,6554027,6608851,6600804,6579330,6659428,6553500,6653117,6590769,6504916,6617516,6587963,6520028,6559383,6513762,6536300,6417066
2,31,0,0,6717607,6689059,6567706,6611990,6543288,6597141,6589414,6567927,6648415,6541001,6641592,6579579,6493219,6606972,6577244,6508651,6546671,6502445,6523600,6405494
3,0,0,0,6728980,6701361,6579437,6624018,6554758,6609528,6601077,6579755,6660417,6553792,6653146,6591282,6504960,6618267,6589082,6521202,6560743,6514272,6535770,6417318
4,31,0,0,6716821,6688688,6566625,6612041,6542679,6596777,6588454,6566941,6648010,6540676,6640023,6579264,6492003,6604643,6576220,6508166,6547790,6501388,6523571,6404859
5,0,0,0,6729145,6701399,6579089,6624850,6555136,6609742,6601214,6580035,6660637,6553429,6653788,6592023,6505080,6617508,6589317,6521015,6560938,6513969,6536898,6417692
6,31,0,0,6716491,6688422,6567001,6612657,6542598,6596988,6589022,6567119,6647519,6541069,6640346,6579187,6492738,6604500,6575794,6508461,6547356,6501495,6523926,6404915
7,0,0,0,6729261,6700677,6579252,6624621,6555447,6609741,6602110,6580169,6660522,6553792,6653426,6592001,6505814,6618293,6588666,6522249,6561551,6514761,6537594,6417531
8,31,0,0,6717217,6688686,6566885,6611790,6542633,6597491,6588966,6567995,6647920,6541346,6641200,6579487,6493193,6606096,6575311,6508774,6547804,6501392,6524780,6405313
9,0,0,0,6730087,6701060,6579069,6624270,6555335,6608888,6601243,6579894,6660455,6553841,6654424,6591899,6506210,6618228,6588074,6521547,6560353,6514358,6537462,6418356
10,31,0,0,6717727,6688325,6566858,6611848,6543138,6597324,6589675,6567706,6647947,6540735,6640790,6579419,6493405,6606567,6576984,6508650,6548097,6502074,6524735,6405402
11,0,0,0,6730048,6701077,6579205,6624177,6555866,6609798,6602309,6580075,6660784,6553903,6654306,6591729,6505661,6618843,6589463,6521564,6561557,6514155,6538522,6418176
12,31,0,0,6717874,6688925,6567117,6612164,6543699,6597450,6589544,6567997,6647934,6540616,6641630,6579184,6493064,6606926,6577093,6508231,6548365,6501840,6525771,6405159
13,0,0,0,6729205,6700876,6578984,6624448,6556037,6609734,6602107,6580015,6660258,6552959,6653844,6591330,6505503,6617851,6589048,6520959,6561354,6513958,6538086,6417335
14,31,0,0,6716629,6688274,6566267,6612087,6543552,6596720,6589243,6566915,6647083,6540339,6640620,6578080,6492958,6605711,6576244,6507411,6547335,6500806,6524248,6404539
15,0,0,0,6729616,6700557,6579345,6624836,6556903,6609586,6601996,6580258,6660009,6553806,6653610,6590878,6505734,6618809,6589771,6521236,6560426,6514446,6537612,6416434
16,31,0,0,6717719,6689310,6567286,6612870,6544783,6597248,6590011,6568653,6647437,6541051,6642620,6579471,6493736,6605760,6577018,6508386,6547565,6501465,6525127,6404912
17,0,0,0,6729497,6701220,6578422,6625119,6556818,6609657,6602499,6580714,6660054,6553874,6654555,6591085,6505000,6617309,6588537,6521068,6560551,6513392,6537919,6417322
18,31,0,0,6717074,6688967,6566211,6612172,6543936,6596794,6590447,6567968,6647642,6541098,6641701,6578526,6492823,6605177,6576666,6508228,6547530,6500756,6524534,6404179
19,0,0,0,6730019,6702095,6578910,6625405,6556381,6610036,6602771,6580543,6660290,6554035,6654314,6591856,6505941,6618126,6589867,6521547,6561158,6514022,6537985,6416954
20,31,0,0,6716968,6688773,6566077,6612271,6542630,6596896,6589438,6567876,6647280,6540647,6642030,6578527,6492762,6604816,6576425,6507881,6547899,6500452,6525030,6404160
21,0,0,0,6729308,6701483,6578863,6624977,6554793,6608772,6602263,6580034,6660560,6553307,6654526,6591799,6505560,6618079,6588776,6520847,6560075,6513182,6538075,6416910
22,31,0,0,6717333,6688729,6566724,6612948,6542998,6596398,6589692,6567744,6648339,6540642,6642048,6579421,6492842,6605479,6576978,6508492,6547393,6500449,6525280,6404030
