rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6716368,6689130,6567980,6610210,6543304,6594917,6589022,6568897,6646226,6541511,6640560,6577941,6491425,6604449,6574711,6507283,6544926,6502428,6524599,6403335
1,0,1,1,6727688,6700962,6580193,6622729,6555019,6607780,6602360,6580501,6658845,6553878,6653766,6590221,6504111,6617387,6587449,6519579,6557691,6514282,6536833,6415013
2,31,1,1,6716029,6689451,6569023,6611723,6543335,6596205,6590965,6569068,6647457,6541969,6642018,6578308,6493127,6605508,6575427,6507662,6545529,6502384,6524343,6404261
3,0,1,1,6728341,6701584,6580385,6624340,6554876,6608379,6603255,6581219,6659610,6554076,6654276,6590415,6504849,6617646,6588068,6519955,6558403,6514780,6536361,6416388
4,31,1,1,6716027,6689073,6567358,6612057,6542543,6595305,6590174,6568253,6646574,6540907,6640842,6577379,6492375,6604533,6574696,6506490,6544184,6501342,6522943,6403355
5,0,1,1,6728553,6701740,6579713,6623819,6555727,6607930,6602851,6581391,6659256,6553847,6654392,6590981,6504458,6617686,6587952,6519967,6557611,6514584,6536619,6416697
6,31,1,1,6714794,6688087,6567302,6610794,6542700,6595386,6589230,6568030,6645623,6539839,6640363,6576743,6490771,6604101,6574094,6505786,6543650,6501216,6523285,6403573
7,0,1,1,6727850,6700460,6580394,6624492,6556142,6608675,6602108,6581118,6659333,6553431,6653765,6590337,6504171,6617669,6588164,6518792,6557085,6514786,6536746,6416930
8,31,1,1,6716520,6689062,6568598,6612772,6543908,6596900,6590613,6569151,6647674,6541029,6641633,6578426,6492295,6604959,6575372,6506879,6544976,6502507,6524521,6405345
9,0,1,1,6727483,6700790,6579433,6624273,6555563,6607571,6601950,6580764,6659731,6552925,6653812,6590063,6503939,6616688,6588263,6519319,6556719,6513951,6535945,6416662
10,31,1,1,6715516,6688613,6567188,6612359,6543167,6595964,6589612,6568422,6647195,6540513,6640840,6578273,6491563,6604338,6575523,6506622,6543887,6501165,6523112,6404344
11,0,1,1,6728380,6701345,6579594,6625259,6554905,6609209,6602313,6581942,6659712,6553358,6654813,6591245,6504223,6617249,6588920,6520589,6557350,6514836,6536200,6418339
12,31,1,1,6715364,6689542,6567525,6612634,6542315,6596634,6589690,6568844,6647344,6539977,6641410,6578717,6491204,6604790,6576306,6507410,6544100,6501456,6523569,6404981
13,0,1,1,6727413,6702093,6579709,6624308,6554734,6609233,6602310,6581363,6659318,6553375,6653774,6591727,6504532,6616478,6587594,6520432,6556634,6514067,6537092,6416912
14,31,1,1,6714729,6688399,6567330,6611238,6542388,6596279,6590196,6569028,6646495,6540678,6640698,6578479,6491866,6603423,6574693,6506795,6543577,6501424,6523916,6404541
15,0,1,1,6726769,6700174,6579269,6623619,6554651,6608345,6601850,6580853,6658993,6553131,6653578,6590973,6503796,6615631,6587935,6519208,6555834,6514150,6536605,6416724
16,31,1,1,6715190,6688654,6567239,6611848,6542939,6596051,6589560,6568563,6646391,6541143,6641249,6578416,6491658,6603066,6575278,6506454,6542773,6501514,6523366,6404188
17,0,1,1,6727462,6701022,6579138,6623967,6555138,6608441,6602221,6580616,6659171,6553874,6653954,6591126,6504429,6616653,6587749,6520038,6556474,6514107,6536419,6416980
18,31,1,1,6715046,6688349,6567535,6612157,6542732,6596642,6590752,6568707,6646759,6540752,6641428,6578152,6491593,6604408,6574458,6507037,6543220,6501555,6524038,6405231
19,0,1,1,6727343,6700799,6579463,6624266,6555155,6608581,6602865,6580668,6659134,6552777,6653793,6590633,6504256,6616972,6587695,6519736,6556345,6513485,6536685,6417195
20,31,1,1,6714242,6687490,6566460,6611061,6541759,6595625,6589523,6566779,6645357,6539200,6639836,6576780,6490789,6603999,6574066,6505872,6542552,6500235,6523089,6403482
21,0,1,1,6728487,6700905,6579850,6625423,6555620,6609614,6602990,6581821,6659321,6553185,6653828,6590370,6504160,6617684,6587594,6520316,6555982,6513680,6536274,6417202
22,31,1,1,6714523,6687923,6566623,6612072,6542384,6595937,6589869,6568309,6646015,6540309,6640274,6576735,6491081,6603995,6573441,6506614,6541974,6500421,6522593,6403589
23,0,1,1,6727648,6699255,6578573,6623953,6554523,6607950,6602682,6580383,6659335,6553386,6653305,6589285,6503413,6615986,6586683,6519608,6556179,6513006,6535992,6415792
