rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
447,0,0,0,6727152,6702337,6578823,6624288,6555447,6606515,6601083,6579472,6659432,6551355,6651544,6590784,6504946,6615690,6587053,6519246,6559015,6514291,6536132,6417278
448,31,0,0,6714484,6690234,6566194,6611905,6543216,6594418,6588229,6567607,6646441,6538628,6638624,6578224,6492249,6602870,6573766,6506718,6546325,6501410,6523365,6404047
449,0,0,0,6726360,6701773,6578540,6624464,6555537,6605988,6600594,6579818,6658632,6550912,6651345,6590354,6505178,6615053,6586406,6519233,6559622,6513883,6535734,6416703
450,31,0,0,6714365,6690196,6566697,6612206,6542915,6593346,6588366,6567423,6646012,6538719,6638623,6578114,6492323,6603449,6574545,6506347,6545861,6501182,6522605,6404378
451,0,0,0,6727660,6703539,6580070,6625410,6555271,6607078,6601659,6581110,6659692,6552436,6652005,6591809,6506357,6616491,6587888,6519654,6560070,6514706,6536800,6418183
452,31,0,0,6714819,6690037,6566598,6612245,6542924,6594131,6588844,6567771,6646392,6538461,6638785,6578272,6493002,6603044,6574113,6506076,6546604,6500496,6523498,6405333
453,0,0,0,6726720,6702365,6578710,6624478,6554791,6606659,6601082,6579624,6658623,6551992,6651991,6590425,6505859,6614809,6587487,6518878,6558852,6513252,6535959,6417141
454,31,0,0,6714291,6689960,6565901,6612355,6542917,6593822,6588509,6567250,6646001,6539109,6638795,6578290,6494090,6602408,6574612,6506251,6546086,6500122,6523044,6404912
455,0,0,0,6727589,6701644,6578370,6624538,6555330,6606619,6601137,6580206,6658338,6551573,6651818,6590846,6506388,6615014,6587996,6518817,6559132,6512847,6535612,6417327
456,31,0,0,6715381,6689443,6566580,6612661,6542428,6593755,6589231,6567312,6646109,6539044,6638672,6578077,6493282,6602976,6574709,6506459,6545669,6500434,6522374,6404756
457,0,0,0,6727644,6701366,6578850,6625582,6554626,6605913,6601261,6579667,6659189,6552188,6651099,6590633,6505328,6615203,6587474,6518958,6558832,6513905,6535247,6416726
458,31,0,0,6714214,6689206,6565184,6612862,6542027,6592954,6588255,6567138,6646012,6538413,6638078,6577723,6492398,6602731,6574378,6505797,6544827,6500458,6522239,6403515
459,0,0,0,6726662,6701210,6578009,6624996,6554744,6606169,6601203,6579487,6658419,6551413,6651633,6589969,6505002,6615779,6586717,6519224,6557519,6513390,6534927,6415583
