rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6714314,6690203,6567875,6609747,6543724,6595642,6589208,6568217,6647684,6540068,6639798,6578300,6494369,6605172,6575740,6508620,6543390,6502740,6524040,6403152
1,0,0,0,6726329,6703079,6581069,6623349,6556190,6608815,6602835,6581238,6661325,6552897,6652431,6591992,6507151,6618777,6588930,6522125,6558502,6516212,6537740,6415914
2,31,0,0,6714494,6690493,6568342,6611842,6543660,6596839,6590338,6567706,6648495,6539759,6639673,6579717,6494504,6606113,6576838,6509019,6545353,6503347,6524888,6403135
3,0,0,0,6727386,6702614,6581058,6625155,6556540,6609104,6602441,6580803,6661172,6552334,6652917,6591880,6507220,6619116,6589317,6522480,6558386,6516416,6537358,6415397
4,31,0,0,6714755,6689975,6568619,6612167,6544550,6596898,6590125,6568123,6648336,6539783,6639691,6579146,6494956,6606347,6576217,6509676,6545629,6503492,6523945,6401946
5,0,0,0,6726735,6701590,6580476,6623342,6556465,6608773,6601883,6579812,6660569,6550939,6652441,6591882,6506643,6618241,6589043,6522206,6557059,6516048,6536321,6414892
6,31,0,0,6714298,6689394,6567937,6610446,6543705,6596052,6589315,6566932,6647464,6538506,6639666,6578874,6494263,6605652,6575983,6507989,6543721,6502881,6523963,6402978
7,0,0,0,6726555,6702121,6580400,6623171,6556562,6608937,6602506,6580132,6660216,6551781,6653164,6591453,6507090,6618650,6589030,6521648,6557561,6515494,6537256,6415735
8,31,0,0,6715247,6690238,6568780,6610785,6544214,6596897,6590156,6568385,6648191,6539572,6640993,6579742,6495092,6606104,6576737,6509121,6544226,6502791,6524348,6403395
9,0,0,0,6727221,6701473,6580185,6623369,6555107,6608273,6602823,6580354,6660398,6552192,6652810,6591432,6506697,6617713,6588182,6521462,6556425,6514900,6536538,6415495
10,31,0,0,6715409,6689155,6568304,6611757,6543614,6595400,6590467,6568129,6647804,6539735,6640862,6578942,6493587,6605378,6575882,6509053,6544026,6501872,6524141,6402856
11,0,0,0,6726669,6701410,6580125,6623550,6555837,6607600,6602374,6580233,6660446,6551859,6653212,6591397,6506074,6617897,6588422,6521494,6556584,6514239,6536324,6414386
12,31,0,0,6714480,6689100,6567952,6610666,6543115,6595093,6590029,6567199,6648521,6539498,6640345,6578996,6493794,6605711,6575890,6507564,6543798,6502263,6523282,6402403
13,0,0,0,6727743,6701977,6580312,6622612,6555350,6607740,6602808,6580606,6660797,6552834,6654081,6591556,6506539,6618523,6588686,6521159,6556497,6516242,6537434,6415755
14,31,0,0,6714536,6689052,6567053,6610568,6543143,6595305,6590175,6567401,6647896,6539100,6639927,6578105,6494199,6604790,6575727,6507405,6544244,6502415,6523726,6403170
15,0,0,0,6726366,6701269,6579431,6622310,6555285,6607573,6602721,6580182,6660794,6551648,6652604,6590745,6506651,6616686,6587282,6521042,6556859,6514801,6536203,6415380
16,31,0,0,6714294,6688438,6567959,6610014,6543239,6595393,6589664,6567287,6647923,6539589,6639321,6577455,6494192,6603441,6574924,6508193,6544306,6502384,6523604,6402551
17,0,0,0,6727690,6701717,6580413,6623536,6555576,6608623,6602277,6580355,6661014,6552760,6652840,6590788,6507486,6618300,6588416,6522187,6558268,6515520,6536428,6416268
18,31,0,0,6714608,6689219,6567479,6611210,6543017,6595698,6590059,6568043,6647819,6539778,6639048,6578162,6494476,6604853,6574840,6508364,6544448,6502557,6523025,6403044
19,0,0,0,6727734,6701272,6579334,6623242,6555695,6609107,6601552,6579804,6660662,6552768,6652499,6590816,6507006,6617864,6587126,6521128,6557578,6515464,6536694,6415740
20,31,0,0,6715676,6689589,6567838,6611470,6544427,6596905,6589822,6568034,6648417,6540414,6640347,6579171,6495834,6605740,6575149,6508980,6545630,6503595,6524843,6403442
21,0,0,0,6727135,6700872,6579468,6623954,6556606,6608897,6601406,6580026,6660680,6552852,6653412,6590775,6507899,6617522,6587154,6521258,6558440,6516095,6537449,6415694
22,31,0,0,6714939,6688685,6566721,6610884,6543481,6596560,6588990,6567320,6647581,6539850,6640532,6577996,6494826,6604732,6574194,6507979,6544856,6502798,6523636,6402207
23,0,0,0,6727485,6701319,6579033,6623667,6555998,6609057,6602092,6580022,6660195,6552592,6652810,6590488,6507049,6618442,6587204,6521354,6558114,6515973,6536752,6414795
24,31,0,0,6713941,6688450,6566370,6610699,6543531,6596129,6589176,6567373,6647821,6539048,6639002,6577333,6494501,6605164,6574109,6507579,6544788,6502056,6523517,6401732
25,0,0,0,6727037,6700900,6578638,6623431,6555852,6609407,6602297,6580023,6661451,6552884,6652368,6590382,6507091,6617855,6587493,6521528,6558126,6515647,6536754,6414771
26,31,0,0,6714572,6689095,6566764,6611519,6542973,6596555,6590139,6567471,6647564,6539824,6640377,6577910,6495320,6605057,6575238,6508499,6544500,6503133,6524196,6402834
27,0,0,0,6726668,6701256,6578379,6623394,6555576,6608740,6601589,6579620,6660062,6551565,6652763,6590548,6507599,6617994,6588245,6521209,6557412,6515140,6536812,6415346
28,31,0,0,6715448,6689842,6566661,6612131,6543452,6596711,6590294,6568149,6647906,6539695,6640908,6578735,6495774,6605849,6576388,6509115,6544738,6503028,6525006,6403388
29,0,0,0,6726876,6701474,6578214,6623641,6555995,6608545,6602310,6579765,6659558,6551489,6653171,6590435,6507780,6618000,6588473,6520560,6557180,6515502,6536740,6415394
30,31,0,0,6715352,6689957,6566994,6611801,6544200,6595616,6590257,6568224,6647917,6539403,6640506,6578409,6495496,6605024,6575911,6508454,6545059,6503544,6524498,6403596
31,0,0,0,6727456,6701719,6578814,6623418,6555819,6608346,6602509,6580365,6660839,6551646,6652965,6590516,6507596,6617453,6588436,6521372,6558557,6515848,6537066,6415937
32,31,0,0,6715100,6689438,6567367,6611098,6543902,6595869,6590503,6568198,6648039,6539712,6639956,6578131,6495265,6605170,6575558,6508967,6545641,6503656,6524407,6403738
33,0,0,0,6726706,6701562,6578842,6622793,6556028,6607774,6602236,6579933,6659927,6551561,6652884,6590226,6506923,6617000,6587823,6521185,6557154,6515735,6536848,6415607
