rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6713883,6687467,6567270,6609138,6542882,6594641,6589513,6566578,6646577,6537789,6639677,6576916,6493044,6603487,6574438,6505862,6544264,6501676,6521098,6400981
1,0,0,0,6726476,6699187,6579684,6622270,6554556,6607696,6601581,6579336,6659966,6549772,6652311,6590433,6506149,6615847,6587726,6519024,6557777,6514414,6533740,6414499
2,31,0,0,6714165,6687130,6567312,6610165,6542487,6594869,6589723,6567501,6647443,6537914,6639661,6578535,6493650,6603861,6575180,6505895,6545165,6501809,6521315,6403062
3,0,0,0,6726317,6699993,6579674,6623087,6555208,6607521,6602250,6580150,6660011,6551123,6653383,6591677,6506640,6618001,6588273,6519415,6558616,6515217,6534982,6415912
4,31,0,0,6714324,6688290,6567648,6611023,6542971,6595344,6589426,6567941,6647271,6538558,6640796,6579012,6493575,6605133,6575673,6506741,6545419,6502911,6522311,6403412
5,0,0,0,6726738,6700632,6579284,6623721,6555156,6608263,6602328,6579985,6660379,6551725,6653509,6591166,6505704,6618068,6587848,6519375,6558601,6515442,6534897,6415774
6,31,0,0,6714059,6688004,6566989,6611147,6542305,6595718,6589291,6567128,6647078,6538401,6640003,6577799,6493903,6605713,6574459,6507062,6545153,6502760,6521842,6402627
7,0,0,0,6725966,6700182,6579221,6623613,6554085,6607374,6602047,6579475,6659433,6550680,6652608,6590027,6505506,6617491,6587716,6519605,6558165,6514600,6534135,6414543
8,31,0,0,6714121,6688148,6567545,6611324,6542341,6595783,6590320,6567434,6646768,6537867,6640132,6577777,6493521,6604981,6574674,6506576,6544987,6502120,6521398,6402408
9,0,0,0,6727146,6699716,6579794,6624468,6555325,6608826,6602910,6580111,6659888,6551104,6653946,6591418,6506266,6617387,6587835,6520774,6557896,6515451,6534421,6414765
10,31,0,0,6714967,6686921,6568178,6612187,6543011,6596591,6590334,6568133,6647384,6539112,6640809,6578262,6494102,6605099,6575515,6507859,6545090,6502551,6521180,6402614
11,0,0,0,6726312,6699685,6580220,6624286,6555378,6608722,6602532,6580312,6659903,6552104,6653326,6590552,6505951,6618506,6587873,6520702,6558507,6515369,6534540,6415409
12,31,0,0,6713408,6687433,6568037,6611466,6543442,6595765,6589958,6567914,6647453,6538982,6641073,6578831,6493655,6604807,6575646,6507945,6545605,6502372,6522175,6404024
13,0,0,0,6725763,6699300,6580349,6623676,6555876,6607894,6602655,6580014,6660560,6551587,6653733,6591370,6506547,6617687,6587819,6520360,6558805,6515005,6535499,6415739
14,31,0,0,6713092,6687617,6567985,6610746,6543157,6595195,6589783,6567278,6647111,6538472,6640782,6578884,6493507,6604950,6575148,6507024,6544682,6502114,6522801,6402803
15,0,0,0,6725655,6700436,6579795,6622990,6555341,6607675,6602527,6580320,6660331,6550773,6652907,6591866,6505819,6617737,6588402,6520526,6557470,6515185,6535464,6415194
16,31,0,0,6713974,6688420,6568629,6611832,6543635,6595411,6590675,6567852,6647657,6539146,6640508,6579177,6494026,6606529,6575824,6508119,6544841,6502484,6522448,6402902
17,0,0,0,6725915,6700264,6579580,6623800,6555178,6607108,6602136,6579816,6659699,6551211,6652826,6590846,6505886,6617723,6587909,6520141,6557690,6514749,6535398,6415310
18,31,0,0,6714283,6688467,6568313,6612198,6543196,6594589,6589512,6567530,6646943,6538945,6640621,6578836,6493854,6605525,6575029,6507645,6545290,6501737,6523074,6402699
19,0,0,0,6726159,6701151,6580015,6625414,6555446,6607423,6601988,6580162,6659893,6551167,6652783,6591452,6506675,6617666,6587972,6520596,6558612,6514188,6535664,6415897
20,31,0,0,6713743,6688656,6567914,6612576,6542719,6595074,6590016,6567436,6646927,6538087,6639129,6578652,6494140,6605639,6575259,6507432,6545052,6501715,6522324,6403137
21,0,0,0,6726925,6701267,6580094,6624595,6555568,6608209,6602265,6580316,6659586,6552154,6652989,6591515,6506864,6618028,6588379,6520547,6558145,6514941,6535484,6416580
22,31,0,0,6714039,6688720,6567929,6612187,6543108,6595828,6589848,6567837,6647208,6538809,6639533,6578786,6493893,6605782,6576613,6507163,6545295,6502100,6522361,6403596
