rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6714897,6685976,6567417,6608994,6542884,6594411,6587825,6565974,6645124,6538165,6636713,6578850,6493258,6603440,6572723,6506088,6544470,6501220,6521842,6401252
1,0,1,1,6727843,6699490,6579982,6621714,6555906,6607772,6601550,6578572,6659084,6551715,6651176,6591723,6507365,6616994,6587035,6519563,6558056,6514861,6535177,6415181
2,31,1,1,6716114,6687265,6568136,6610931,6544072,6595883,6589860,6567124,6647189,6539625,6638284,6579678,6495207,6605283,6574791,6506795,6545111,6502266,6522416,6402918
3,0,1,1,6728243,6699812,6580738,6624040,6555656,6607903,6602438,6579441,6659748,6552290,6650977,6592255,6507827,6617360,6586342,6519732,6558299,6514488,6534608,6416129
4,31,1,1,6715972,6687537,6568924,6612105,6544364,6595113,6590251,6566768,6647807,6539720,6638504,6580428,6496134,6604839,6575228,6506800,6545862,6502226,6522225,6404226
5,0,1,1,6727038,6698583,6579948,6622835,6556115,6606621,6602084,6578265,6659602,6551742,6649609,6591889,6507222,6616425,6587235,6519416,6557935,6514158,6534497,6414776
6,31,1,1,6715568,6686468,6568056,6610045,6543791,6594283,6589255,6566038,6647251,6538455,6637192,6579170,6494750,6603646,6573773,6506509,6545254,6501650,6521672,6402543
7,0,1,1,6728350,6699643,6580850,6622755,6556710,6607394,6602214,6579489,6660912,6552625,6650639,6592359,6507250,6617089,6587620,6519663,6558825,6515588,6534846,6416410
8,31,1,1,6715250,6686452,6567842,6609297,6544339,6594133,6589599,6565945,6647505,6538254,6637110,6578516,6493997,6603558,6574551,6505848,6544703,6502259,6521713,6402493
9,0,1,1,6728301,6699435,6580425,6623168,6557182,6607314,6602562,6579152,6660770,6551770,6651109,6592411,6507429,6617217,6588176,6520439,6558425,6515652,6535479,6416316
10,31,1,1,6713970,6685954,6567015,6610289,6543604,6594127,6588355,6565750,6647231,6538043,6637896,6578976,6493855,6603666,6574822,6507038,6543900,6500727,6521611,6403029
11,0,1,1,6728186,6698752,6580374,6624109,6556914,6607437,6602805,6579296,6660386,6552082,6651666,6592533,6507401,6617402,6587841,6520422,6558102,6514994,6535916,6415896
12,31,1,1,6715288,6686368,6567208,6611070,6544604,6594350,6589715,6566304,6647656,6538758,6637458,6578963,6493883,6603459,6574615,6507150,6543733,6501873,6522470,6402337
13,0,1,1,6728103,6699791,6580392,6623638,6557173,6607644,6603266,6579205,6660874,6551185,6650909,6592020,6507657,6616845,6588116,6520285,6558241,6514742,6535868,6415368
14,31,1,1,6714352,6686375,6567498,6610018,6543509,6593216,6589641,6565237,6646900,6538376,6636244,6578772,6494337,6603680,6573617,6506169,6543979,6500929,6521917,6402406
15,0,1,1,6727545,6699745,6580645,6623716,6556706,6605732,6602743,6578598,6660310,6551769,6651137,6592139,6507507,6616641,6588000,6520416,6557886,6514519,6536043,6415665
16,31,1,1,6715182,6685982,6568139,6611272,6543966,6594328,6589983,6565883,6647592,6539038,6637463,6578763,6494995,6603903,6575208,6507241,6545341,6501663,6522535,6403109
17,0,1,1,6727435,6698503,6579878,6623567,6556555,6606850,6602993,6578379,6660224,6551487,6650301,6591270,6506955,6616166,6588608,6519964,6558359,6514892,6534297,6415122
18,31,1,1,6714465,6686192,6567722,6611342,6543238,6594139,6589704,6566023,6647576,6537955,6637080,6578434,6494154,6602226,6575306,6506482,6544780,6501555,6521653,6402685
19,0,1,1,6728331,6698933,6580091,6623773,6556487,6606783,6602831,6578540,6660768,6550458,6650538,6591740,6506876,6615890,6588568,6519695,6558535,6514779,6535307,6414429
20,31,1,1,6714880,6686674,6567802,6610493,6543487,6594106,6589773,6566080,6647872,6538147,6638190,6579323,6494052,6603737,6575110,6505449,6545182,6501354,6522586,6402039
21,0,1,1,6727428,6698804,6580250,6622977,6556720,6607446,6602566,6579291,6661104,6551553,6651616,6592571,6507181,6617104,6587915,6519149,6558273,6514810,6535826,6415708
22,31,1,1,6714335,6685120,6567998,6609735,6542557,6594402,6589934,6565029,6646999,6536894,6637132,6578920,6493916,6602917,6574322,6505719,6544614,6500903,6521943,6401735
23,0,1,1,6727395,6698347,6580613,6623286,6555359,6607356,6602263,6578950,6660177,6550623,6650589,6591962,6506328,6615262,6587691,6519595,6557413,6514553,6534993,6413846
24,31,1,1,6713774,6684661,6567297,6610011,6542541,6594359,6589427,6565621,6647204,6537838,6637286,6578966,6493530,6602651,6573634,6506377,6543209,6501029,6521397,6400823
25,0,1,1,6726132,6697775,6580039,6622865,6554592,6607216,6601569,6578087,6659702,6550650,6650846,6592091,6506019,6615983,6586915,6519135,6557415,6514385,6534179,6413802
26,31,1,1,6713700,6685797,6567958,6611452,6543763,6594863,6589408,6566395,6647527,6539197,6638348,6579779,6494064,6604059,6574504,6507096,6545184,6501956,6522497,6402299
27,0,1,1,6726831,6697369,6580085,6623736,6555944,6606700,6602032,6578311,6660350,6551039,6651028,6591358,6506332,6616124,6587402,6519050,6557434,6515091,6535586,6414670
28,31,1,1,6714302,6684098,6567403,6610879,6543112,6594015,6588868,6565644,6647187,6538553,6637887,6578298,6493416,6602990,6573766,6505981,6543639,6501012,6522412,6402130
29,0,1,1,6727936,6696931,6580276,6623981,6556294,6607439,6602171,6579329,6659905,6551611,6651609,6591710,6507131,6616139,6588011,6519847,6558135,6514717,6535449,6415813
30,31,1,1,6715005,6685443,6567506,6611984,6543599,6595194,6589546,6566624,6646581,6538766,6638375,6578867,6494461,6603625,6574553,6506947,6544852,6501702,6522060,6402457
31,0,1,1,6728220,6698181,6580128,6624920,6556520,6608266,6602323,6579548,6660131,6551865,6650947,6592493,6507260,6615993,6587753,6520226,6558477,6515431,6535631,6415270
32,31,1,1,6714421,6685237,6567634,6611635,6543380,6593714,6589333,6566458,6646664,6537861,6637154,6578585,6493689,6601459,6574094,6506290,6544419,6501657,6521195,6402304
33,0,1,1,6727190,6698588,6580544,6624689,6556711,6606846,6602394,6579775,6659787,6550742,6650907,6591812,6507184,6615733,6588558,6519981,6558574,6514613,6535375,6415372
34,31,1,1,6714981,6686403,6568082,6611631,6544063,6593724,6589382,6566524,6646847,6537747,6637393,6579338,6494195,6603119,6575208,6507121,6544588,6501550,6522444,6402405
35,0,1,1,6727196,6698137,6579396,6622940,6555072,6605537,6600021,6578567,6659113,6549979,6650111,6591266,6506900,6615595,6587394,6519750,6557480,6513964,6534182,6413816
36,31,1,1,6714155,6685517,6566734,6610857,6542350,6592956,6587744,6565451,6645951,6536492,6637026,6577615,6493667,6602603,6574017,6506537,6544092,6501458,6521163,6400864
37,0,1,1,6726884,6698402,6579020,6623984,6554700,6605704,6600713,6578145,6659042,6550083,6649919,6591028,6506313,6615054,6587419,6519853,6557610,6514293,6535022,6413613
38,31,1,1,6715049,6686498,6567406,6611155,6543129,6594177,6588217,6566204,6646649,6538333,6637430,6578571,6493725,6602747,6574885,6507320,6544467,6502131,6522585,6402135
39,0,1,1,6726923,6697322,6579179,6623414,6555051,6606129,6601047,6577484,6658904,6550744,6650768,6590995,6505867,6615840,6587090,6519603,6556859,6514235,6534962,6414049
40,31,1,1,6714709,6685806,6567365,6611844,6543477,6594426,6588824,6566544,6646600,6538717,6638538,6579093,6494831,6603645,6575601,6506916,6544809,6502191,6522824,6402565
41,0,1,1,6726365,6697994,6578883,6623572,6554733,6606622,6600654,6578508,6658811,6550875,6650868,6591274,6505692,6615436,6586338,6519227,6556755,6514381,6535030,6414632
42,31,1,1,6713028,6685908,6565672,6610578,6541925,6594468,6587756,6565915,6645711,6537351,6637086,6578234,6493131,6601347,6573653,6505706,6543832,6500771,6521231,6401471
43,0,1,1,6725906,6698640,6577601,6623207,6555008,6607264,6600643,6578972,6659268,6550934,6650656,6591476,6506168,6615039,6586999,6519110,6557705,6514080,6534286,6414173
44,31,1,1,6714659,6686128,6566939,6612038,6543046,6594767,6588864,6566463,6647194,6538290,6637914,6579475,6494478,6602669,6575333,6506558,6544933,6501873,6522457,6402359
45,0,1,1,6727007,6698021,6579308,6623625,6555348,6607219,6601163,6579558,6660176,6550150,6650996,6592181,6506916,6614505,6587946,6519361,6558679,6515098,6535582,6414431
46,31,1,1,6714602,6685765,6566536,6610679,6542755,6594316,6589029,6566184,6646716,6537478,6637902,6579287,6494647,6601805,6574936,6506240,6545241,6501869,6522763,6401032
47,0,1,1,6727951,6698380,6579159,6623404,6556163,6607624,6602437,6579568,6660308,6550442,6651047,6592483,6507530,6615850,6587434,6520289,6558993,6515383,6536493,6414517
48,31,1,1,6714155,6685072,6566696,6609925,6543168,6593928,6589478,6566344,6646806,6536657,6637374,6578831,6494347,6601317,6573933,6506567,6545631,6501753,6523024,6401163
49,0,1,1,6727023,6698328,6578835,6622932,6555207,6606802,6602020,6578565,6659850,6550031,6650378,6591051,6507487,6615110,6586712,6519304,6557917,6515051,6535031,6413737
50,31,1,1,6714503,6686376,6566904,6611013,6543457,6595009,6589475,6566461,6647710,6538156,6637861,6578939,6494795,6602860,6575238,6506609,6544945,6502541,6523006,6401549
51,0,1,1,6725393,6697482,6578090,6621614,6554332,6606409,6600535,6578023,6658423,6550234,6649862,6590191,6505666,6614273,6586400,6517791,6556717,6513816,6534589,6413481
52,31,1,1,6713597,6685603,6566583,6610778,6542283,6594394,6588855,6565980,6646757,6537753,6637607,6578673,6493897,6601945,6574337,6506044,6544342,6501192,6522392,6402215
53,0,1,1,6725440,6697932,6578860,6622979,6554550,6606511,6600859,6577945,6659201,6549931,6650164,6590834,6506449,6614159,6586796,6518496,6557087,6513908,6534759,6414646
54,31,1,1,6713364,6685449,6567045,6610529,6543117,6593987,6588944,6566168,6647154,6537635,6637508,6577910,6493641,6602197,6574315,6506270,6544409,6500736,6522060,6402127
55,0,1,1,6725957,6697430,6579022,6622439,6555388,6606309,6601664,6578670,6659447,6549786,6650325,6590752,6506271,6614533,6586845,6519241,6557789,6513693,6534883,6414614
56,31,1,1,6714775,6685783,6567589,6610922,6544196,6594521,6589390,6566654,6646688,6537835,6638028,6579180,6494824,6602789,6574781,6507148,6545028,6502011,6522935,6402869
57,0,1,1,6726268,6698015,6579109,6622214,6556004,6606357,6601130,6578514,6658931,6549707,6650804,6591303,6506335,6613984,6586343,6519484,6557425,6513938,6534969,6415051
58,31,1,1,6714744,6686160,6567105,6609796,6544016,6593781,6588708,6566151,6646895,6537596,6638567,6578266,6494132,6601809,6573800,6506603,6544401,6500485,6521858,6402816
59,0,1,1,6726615,6698965,6579355,6621732,6556795,6606328,6601781,6578942,6660077,6550230,6650982,6591441,6506858,6613802,6585906,6519146,6557688,6513374,6535585,6415089
60,31,1,1,6714323,6686087,6567032,6609848,6543695,6593984,6589504,6566558,6647044,6537426,6637894,6578641,6493960,6602065,6574494,6506234,6544930,6501288,6522084,6401972
61,0,1,1,6726223,6698062,6578259,6621888,6555640,6605539,6601399,6578176,6658752,6549219,6650842,6590734,6505383,6613866,6586961,6518454,6557933,6513247,6534578,6414051
62,31,1,1,6713487,6686430,6566479,6609206,6543067,6593493,6589310,6566466,6646437,6536590,6637202,6578692,6493270,6602254,6574490,6505840,6544511,6500613,6522227,6402200
63,0,1,1,6726435,6698146,6579024,6622170,6556291,6606372,6601798,6579196,6659680,6550136,6650693,6592480,6507069,6615816,6588180,6519003,6557803,6514113,6536277,6415601
64,31,1,1,6712800,6683987,6564824,6609205,6542202,6592564,6588029,6565650,6645906,6536173,6636901,6578164,6493843,6602735,6573611,6505072,6543483,6499377,6521432,6401699
65,0,1,1,6726353,6697609,6578745,6622528,6555518,6606574,6602105,6578699,6659996,6550362,6651592,6592044,6507119,6617142,6586645,6519589,6558089,6513734,6535565,6415808
66,31,1,1,6713991,6685861,6567163,6610687,6543963,6594505,6589997,6566418,6647083,6537846,6638524,6579917,6495150,6604631,6573846,6506939,6545093,6502132,6522487,6403367
67,0,1,1,6726131,6697641,6578223,6622439,6555643,6606903,6601532,6578904,6659043,6549805,6651653,6591665,6507030,6616091,6586833,6519228,6557378,6514688,6534749,6415826
68,31,1,1,6714653,6684820,6566153,6610455,6543615,6593750,6589435,6566419,6646908,6538145,6638370,6579547,6495151,6603443,6574434,6506397,6544964,6501409,6522242,6403135
69,0,1,1,6727178,6697271,6577993,6622898,6555452,6606337,6602080,6578547,6659400,6550413,6651073,6591850,6507269,6615431,6587190,6519689,6558507,6514406,6535217,6415246
70,31,1,1,6714616,6684705,6565911,6610046,6542891,6593575,6589090,6565933,6646124,6536907,6638203,6578700,6494741,6602515,6573918,6506437,6544587,6501506,6522365,6402597
71,0,1,1,6727219,6697416,6578104,6622409,6555248,6606111,6601887,6578481,6658918,6550388,6650762,6591412,6506949,6615829,6586570,6519502,6558089,6514365,6535768,6415624
72,31,1,1,6714279,6684922,6566537,6610331,6542695,6594112,6589336,6566327,6646325,6537819,6637723,6578812,6494477,6602726,6573902,6506547,6545417,6500728,6522504,6402752
73,0,1,1,6726683,6697289,6578444,6622229,6554925,6606003,6601495,6577831,6658626,6550148,6650498,6590858,6506161,6614943,6586278,6518651,6558421,6513616,6535469,6414217
74,31,1,1,6714487,6684710,6565401,6610259,6542093,6592882,6588957,6564572,6645511,6536838,6636823,6577531,6493361,6601901,6573188,6504910,6545203,6501217,6522314,6401860
75,0,1,1,6727832,6698156,6578781,6623133,6555021,6606560,6602367,6578197,6659717,6550042,6650565,6591133,6507077,6615541,6586732,6519113,6558722,6514572,6535917,6415000
76,31,1,1,6714966,6685645,6566755,6609656,6542777,6593393,6589832,6566150,6646668,6537848,6637324,6578515,6493715,6602049,6573845,6506246,6546485,6501821,6522328,6402401
77,0,1,1,6727645,6697266,6578151,6622793,6555217,6605517,6602494,6578138,6659723,6550495,6651486,6591817,6506860,6615056,6585850,6519578,6559650,6514123,6535885,6415144
78,31,1,1,6714819,6684706,6565910,6609471,6542581,6593146,6589285,6565583,6646944,6536990,6637913,6578693,6493984,6602926,6572330,6505878,6545311,6501357,6522270,6402266
