rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,255,74902,74465,73712,73717,74276,67937,66752,67266,66849,66742,75143,74454,73886,74375,73995,64400,63683,63883,64291,63741
1,0,1,255,78492,78028,77206,77202,77822,70815,69605,70170,69723,69617,78786,78065,77516,77981,77580,67230,66502,66716,67144,66573
2,31,1,255,74936,74505,73755,73747,74316,67944,66777,67292,66891,66776,75166,74492,73912,74408,74028,64419,63692,63905,64316,63764
3,0,1,255,78496,78041,77234,77206,77839,70811,69615,70182,69734,69616,78775,78079,77523,77989,77577,67235,66500,66728,67131,66585
4,31,1,255,74924,74504,73752,73737,74318,67945,66774,67290,66880,66766,75157,74487,73919,74408,74020,64423,63707,63911,64308,63771
5,0,1,255,78482,78047,77224,77207,77840,70810,69614,70176,69722,69600,78770,78073,77524,77986,77572,67234,66510,66728,67134,66586
6,31,1,255,74935,74520,73756,73746,74315,67965,66782,67292,66895,66776,75164,74498,73934,74413,74029,64435,63719,63919,64320,63785
7,0,1,255,78482,78061,77219,77204,77850,70823,69623,70178,69744,69618,78772,78080,77535,77987,77587,67245,66525,66730,67139,66593
8,31,1,255,74934,74520,73761,73744,74338,67976,66793,67299,66903,66778,75160,74495,73939,74409,74045,64441,63725,63915,64329,63779
9,0,1,255,78510,78064,77238,77217,77866,70836,69637,70193,69736,69633,78776,78084,77539,77995,77591,67249,66524,66734,67152,66602
10,31,1,255,74931,74502,73750,73732,74338,67961,66790,67284,66883,66786,75155,74486,73922,74407,74027,64422,63716,63910,64312,63771
11,0,1,255,78495,78056,77222,77200,77855,70825,69635,70168,69729,69628,78773,78078,77523,77993,77586,67239,66532,66726,67141,66583
12,31,1,255,74950,74524,73755,73751,74347,67970,66811,67293,66896,66802,75169,74501,73933,74422,74044,64442,63738,63924,64331,63781
13,0,1,255,78521,78076,77227,77220,77874,70848,69644,70189,69742,69652,78787,78092,77542,78008,77604,67252,66542,66733,67149,66602
14,31,1,255,74957,74520,73752,73745,74342,67982,66804,67294,66890,66809,75173,74491,73928,74426,74037,64439,63731,63909,64325,63783
15,0,1,255,78499,78049,77223,77205,77857,70833,69640,70171,69713,69634,78777,78083,77539,77994,77577,67243,66530,66729,67139,66583
16,31,1,255,74946,74512,73765,73742,74341,67977,66819,67303,66889,66794,75168,74509,73945,74424,74041,64435,63739,63914,64333,63775
17,0,1,255,78503,78055,77230,77198,77852,70834,69648,70182,69723,69633,78771,78080,77531,77990,77580,67235,66538,66724,67144,66580
18,31,1,255,74942,74509,73752,73745,74327,67965,66808,67283,66880,66792,75151,74489,73919,74415,74024,64423,63733,63904,64327,63765
19,0,1,255,78513,78065,77233,77217,77860,70836,69653,70177,69728,69639,78787,78087,77547,77995,77590,67246,66537,66736,67157,66592
20,31,1,255,74934,74486,73744,73733,74313,67965,66801,67269,66855,66779,75153,74471,73909,74401,74017,64407,63716,63899,64320,63766
21,0,1,255,78502,78038,77233,77203,77841,70822,69639,70158,69711,69616,78778,78061,77534,77980,77571,67222,66523,66726,67145,66586
22,31,1,255,74957,74514,73770,73757,74333,67970,66814,67294,66885,66801,75180,74493,73933,74432,74033,64428,63734,63914,64350,63786
