rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,0,8,76750,76342,75581,75540,76133,69469,68270,68842,68445,68292,77026,76319,75795,76270,75909,65951,65217,65426,65884,65273
1,0,0,8,77369,76935,76178,76129,76730,69937,68754,69304,68923,68776,77634,76922,76407,76872,76499,66423,65670,65904,66356,65742
2,1,0,8,76803,76356,75624,75577,76167,69480,68300,68853,68472,68321,77061,76356,75831,76305,75942,65980,65226,65443,65908,65300
3,0,0,8,77372,76923,76170,76113,76711,69925,68749,69294,68912,68771,77633,76914,76410,76866,76495,66428,65668,65880,66354,65739
4,1,0,8,76808,76368,75620,75563,76155,69490,68300,68838,68475,68315,77063,76356,75843,76300,75933,65982,65233,65430,65915,65294
5,0,0,8,77369,76927,76161,76098,76706,69930,68746,69292,68917,68760,77637,76906,76398,76850,76472,66406,65664,65874,66352,65738
6,1,0,8,76815,76381,75628,75569,76160,69480,68318,68856,68477,68325,77072,76353,75851,76297,75929,65982,65231,65446,65916,65310
7,0,0,8,77385,76951,76186,76117,76733,69949,68767,69325,68937,68769,77648,76935,76422,76875,76498,66427,65681,65894,66362,65757
8,1,0,8,76798,76359,75608,75538,76155,69483,68299,68849,68466,68315,77045,76338,75830,76287,75911,65962,65212,65436,65902,65291
9,0,0,8,77372,76939,76167,76094,76726,69940,68753,69315,68921,68772,77623,76909,76409,76855,76483,66408,65676,65882,66363,65739
10,1,0,8,76794,76375,75600,75554,76161,69489,68308,68853,68471,68333,77049,76335,75838,76291,75905,65964,65227,65440,65919,65296
11,0,0,8,77372,76928,76157,76116,76734,69938,68765,69315,68930,68791,77635,76916,76413,76864,76468,66403,65673,65883,66361,65742
12,1,0,8,76799,76362,75602,75555,76160,69489,68303,68840,68464,68335,77054,76340,75833,76285,75893,65958,65227,65431,65912,65283
13,0,0,8,77382,76971,76182,76136,76754,69955,68771,69316,68934,68795,77647,76930,76428,76880,76488,66418,65687,65897,66377,65752
14,1,0,8,76801,76390,75615,75566,76184,69493,68315,68854,68489,68337,77071,76357,75839,76304,75921,65978,65243,65447,65930,65305
15,0,0,8,77368,76955,76165,76120,76737,69944,68763,69309,68934,68784,77643,76920,76410,76867,76472,66406,65683,65885,66376,65742
16,1,0,8,76793,76377,75608,75569,76170,69491,68317,68851,68486,68339,77069,76351,75845,76301,75916,65965,65245,65442,65936,65307
