rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,0,8,76722,76310,75565,75525,76125,69472,68273,68791,68436,68310,77014,76317,75780,76248,75895,65944,65183,65395,65879,65285
1,0,0,8,77322,76896,76153,76092,76717,69948,68750,69270,68918,68783,77599,76906,76379,76851,76480,66396,65650,65862,66349,65757
2,1,0,8,76769,76343,75613,75558,76159,69503,68314,68821,68474,68341,77031,76345,75813,76281,75933,65955,65211,65427,65918,65322
3,0,0,8,77316,76880,76140,76088,76711,69942,68745,69264,68902,68772,77589,76887,76360,76824,76458,66384,65643,65851,66355,65746
4,1,0,8,76763,76329,75598,75542,76171,69504,68314,68823,68462,68333,77030,76329,75806,76279,75912,65953,65207,65431,65921,65313
5,0,0,8,77333,76891,76148,76094,76742,69954,68760,69283,68916,68792,77606,76904,76384,76843,76474,66411,65657,65866,66365,65759
6,1,0,8,76762,76326,75593,75528,76164,69495,68312,68810,68454,68333,77023,76333,75815,76271,75907,65953,65209,65424,65915,65308
7,0,0,8,77332,76890,76145,76087,76728,69941,68761,69275,68920,68789,77588,76893,76377,76828,76471,66393,65641,65857,66360,65755
8,1,0,8,76779,76338,75608,75551,76171,69491,68330,68823,68477,68348,77036,76342,75817,76285,75927,65963,65214,65420,65916,65323
9,0,0,8,77349,76915,76170,76115,76738,69946,68778,69283,68918,68808,77596,76911,76390,76851,76481,66401,65655,65868,66364,65775
10,1,0,8,76761,76331,75603,75537,76155,69483,68312,68809,68447,68339,77006,76319,75793,76269,75898,65935,65208,65409,65909,65310
11,0,0,8,77353,76914,76162,76101,76736,69949,68779,69282,68918,68801,77603,76910,76396,76856,76477,66395,65654,65864,66368,65765
12,1,0,8,76766,76331,75593,75541,76167,69486,68328,68823,68456,68342,77013,76342,75812,76277,75907,65947,65203,65413,65912,65302
13,0,0,8,77338,76922,76172,76106,76745,69948,68780,69289,68925,68806,77589,76917,76398,76853,76492,66404,65660,65858,66361,65758
14,1,0,8,76756,76335,75602,75536,76166,69492,68323,68812,68456,68340,77011,76338,75829,76277,75910,65949,65215,65399,65910,65305
15,0,0,8,77329,76912,76159,76091,76728,69956,68780,69273,68928,68801,77603,76909,76399,76852,76480,66397,65665,65871,66369,65766
16,1,0,8,76761,76335,75596,75540,76166,69502,68326,68811,68485,68341,77027,76351,75825,76280,75919,65957,65222,65420,65924,65319
17,0,0,8,77339,76910,76158,76099,76730,69954,68771,69261,68934,68793,77589,76910,76400,76843,76485,66395,65662,65862,66352,65764
18,1,0,8,76786,76370,75617,75559,76180,69502,68330,68820,68486,68353,77028,76352,75827,76292,75934,65954,65229,65441,65925,65325
19,0,0,8,77326,76909,76157,76084,76727,69946,68768,69266,68934,68798,77587,76902,76390,76858,76474,66392,65659,65866,66365,65750
20,1,0,8,76778,76356,75609,75555,76164,69502,68325,68815,68488,68351,77037,76349,75839,76306,75923,65962,65214,65426,65938,65314
21,0,0,8,77338,76920,76153,76099,76738,69957,68771,69264,68934,68792,77594,76916,76401,76857,76483,66403,65638,65862,66378,65757
22,1,0,8,76754,76336,75607,75539,76166,69498,68318,68806,68479,68329,77012,76339,75817,76285,75910,65956,65197,65414,65935,65310
23,0,0,8,77343,76918,76174,76099,76750,69954,68784,69281,68937,68798,77595,76914,76405,76867,76492,66404,65648,65870,66402,65765
24,1,0,8,76764,76334,75602,75528,76171,69487,68312,68802,68476,68327,77012,76337,75816,76280,75917,65947,65195,65415,65935,65313
25,0,0,8,77352,76921,76166,76094,76744,69940,68768,69266,68940,68787,77595,76907,76408,76863,76487,66396,65641,65870,66395,65765
26,1,0,8,76778,76352,75611,75537,76182,69507,68326,68803,68497,68338,77020,76348,75841,76298,75920,65956,65214,65425,65952,65327
27,0,0,8,77364,76932,76178,76101,76763,69974,68789,69274,68952,68804,77614,76934,76415,76874,76494,66417,65666,65883,66402,65784
28,1,0,8,76787,76353,75607,75535,76190,69500,68325,68807,68491,68343,77024,76353,75821,76294,75909,65959,65209,65428,65921,65319
29,0,0,8,77355,76922,76157,76089,76741,69958,68778,69269,68943,68798,77597,76917,76405,76854,76479,66403,65648,65877,66369,65760
30,1,0,8,76794,76367,75602,75554,76187,69515,68337,68826,68498,68349,77034,76353,75830,76299,75922,65972,65217,65437,65926,65319
31,0,0,8,77345,76908,76148,76090,76734,69954,68769,69264,68932,68787,77592,76912,76390,76845,76472,66400,65652,65872,66361,65750
32,1,0,8,76796,76365,75610,75537,76183,69516,68327,68824,68495,68353,77033,76356,75831,76291,75930,65969,65226,65444,65933,65326
33,0,0,8,77343,76927,76163,76086,76735,69960,68776,69272,68929,68788,77596,76918,76404,76848,76476,66393,65656,65867,66367,65753
34,1,0,8,76773,76371,75612,75540,76175,69503,68333,68816,68485,68345,77022,76363,75839,76284,75912,65964,65213,65428,65915,65309
35,0,0,8,77354,76926,76172,76089,76739,69958,68775,69271,68935,68799,77583,76916,76413,76856,76477,66400,65664,65868,66367,65759
