rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
271,0,0,0,6726997,6703030,6579695,6622686,6557126,6609251,6602660,6581141,6661202,6553237,6650868,6592402,6505427,6616547,6590552,6520330,6559284,6517214,6538223,6418617
272,31,0,0,6714639,6690438,6567360,6610257,6544833,6596507,6589656,6569291,6648373,6540280,6638212,6579548,6492306,6602603,6577071,6507479,6545959,6503922,6525371,6405958
273,0,0,0,6726547,6702763,6579188,6622625,6556150,6608354,6601309,6580639,6660207,6551802,6650580,6591772,6504814,6616052,6589761,6519890,6558765,6516173,6537359,6417889
274,31,0,0,6713926,6690087,6566906,6610225,6543892,6595710,6588942,6567970,6647433,6539481,6637829,6579309,6492965,6603474,6577436,6506709,6545122,6503520,6524025,6405331
275,0,0,0,6727015,6702540,6579550,6622496,6556948,6608363,6601345,6580734,6660225,6552418,6650578,6592380,6505598,6616955,6590278,6520040,6558940,6516616,6537282,6418279
276,31,0,0,6715722,6690771,6568144,6611340,6545508,6596832,6589658,6569431,6649014,6540451,6638067,6580795,6494322,6604104,6577960,6507934,6546873,6504411,6525619,6406336
277,0,0,0,6726359,6702035,6579317,6622713,6556985,6607793,6601169,6581172,6660561,6552492,6650282,6592101,6505264,6615836,6589348,6519870,6558532,6516508,6537741,6417917
278,31,0,0,6713803,6690054,6566411,6610276,6544175,6595454,6589339,6568963,6648321,6539829,6638199,6579615,6493161,6603046,6576948,6506923,6545900,6503298,6524911,6405601
279,0,0,0,6725975,6702142,6578658,6621797,6556042,6607708,6600494,6580755,6660305,6552323,6651518,6591958,6504801,6615771,6589418,6519789,6558297,6516067,6537528,6417495
280,31,0,0,6715708,6690682,6568322,6610984,6544931,6596591,6589864,6568571,6649351,6540443,6640138,6580260,6493213,6605002,6577542,6507867,6546834,6503933,6525905,6405889
281,0,0,0,6726206,6701089,6579176,6622532,6556323,6607165,6600751,6580459,6660589,6551689,6651669,6591648,6504210,6615200,6589734,6519930,6558745,6515413,6537447,6416801
282,31,0,0,6714363,6689112,6567468,6610886,6544561,6594786,6588567,6569157,6648487,6539607,6639077,6579569,6492829,6603302,6577228,6507437,6546739,6503230,6525055,6404672
283,0,0,0,6725596,6701218,6579093,6623114,6556283,6607006,6600617,6581011,6660988,6552225,6651466,6591816,6504825,6615077,6589143,6519548,6559299,6515439,6537657,6417168
284,31,0,0,6714764,6689502,6567399,6611587,6544597,6595579,6589699,6569546,6648846,6539902,6638918,6580076,6492945,6603166,6577294,6507096,6546918,6503503,6525639,6405567
285,0,0,0,6727215,6701597,6578801,6622663,6556592,6607737,6601885,6581306,6660610,6552952,6651484,6592049,6505821,6614655,6589377,6520035,6558856,6514926,6538037,6417908
