rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6714132,6688338,6569070,6609183,6543531,6595332,6589724,6567456,6647666,6540515,6639154,6577908,6492159,6603692,6576556,6507443,6545491,6502684,6523854,6404202
1,0,0,0,6726951,6700430,6581797,6622425,6555379,6608626,6602107,6580434,6660973,6553075,6651664,6590879,6505031,6616453,6589353,6520672,6559003,6515963,6537636,6418031
2,31,0,0,6716083,6689464,6570681,6611547,6544657,6597746,6590780,6569010,6649286,6541045,6639628,6579519,6493495,6604932,6578142,6508772,6546328,6504107,6525495,6406616
3,0,0,0,6727385,6700896,6582380,6622757,6555886,6608626,6601978,6580710,6661119,6552914,6651528,6591123,6505341,6616910,6589672,6519999,6559333,6516061,6538035,6418027
4,31,0,0,6714844,6688199,6570059,6610406,6543449,6596056,6589332,6568581,6648255,6540088,6638960,6578658,6492523,6604039,6576860,6507453,6545895,6503380,6525325,6404834
5,0,0,0,6727676,6701797,6582338,6623651,6555831,6608507,6602504,6581361,6660905,6554129,6652251,6591912,6505828,6617048,6589601,6521066,6559071,6516316,6537398,6417757
6,31,0,0,6716363,6690178,6570899,6612046,6543995,6596390,6590025,6568673,6648580,6541387,6639465,6579223,6493542,6605327,6577036,6508165,6546898,6503925,6525223,6406065
7,0,0,0,6729160,6703010,6583343,6624807,6556530,6609094,6602683,6581370,6661461,6554482,6652433,6591932,6506108,6618494,6589971,6521880,6559996,6517424,6539248,6418549
8,31,0,0,6716514,6690866,6570913,6611906,6544225,6596343,6590070,6569078,6648522,6541188,6639284,6579170,6492740,6604740,6578118,6508703,6546502,6504083,6525529,6406227
9,0,0,0,6728129,6702714,6582378,6624325,6555377,6608319,6602633,6581355,6661146,6553207,6651892,6592003,6505371,6616527,6590853,6521440,6559191,6516245,6537646,6418253
10,31,0,0,6715496,6689900,6570544,6611968,6543949,6595931,6589859,6569186,6648465,6540662,6639434,6579345,6493395,6603584,6577842,6507967,6545693,6504278,6525989,6404915
11,0,0,0,6727304,6701847,6582609,6623769,6555694,6607757,6601456,6581319,6660869,6552998,6652013,6591754,6505190,6616833,6590114,6520435,6558306,6516787,6538579,6417653
12,31,0,0,6716078,6689330,6570524,6611460,6543718,6596142,6589755,6569075,6648274,6540596,6638909,6579162,6493145,6604938,6577483,6507948,6545581,6503733,6525325,6405174
13,0,0,0,6728861,6701378,6582962,6622983,6555380,6609204,6602630,6581359,6661016,6553059,6652466,6592124,6505618,6617052,6590940,6521252,6559021,6516714,6538342,6417907
14,31,0,0,6715530,6688680,6571181,6610935,6543033,6596662,6590124,6568868,6648765,6540341,6639643,6579652,6493445,6605026,6578196,6508258,6546021,6504197,6525424,6405140
15,0,0,0,6727216,6701480,6582822,6623633,6554844,6609012,6602843,6581249,6661334,6552641,6651745,6591960,6505400,6617658,6590036,6520774,6558796,6516226,6537076,6418401
16,31,0,0,6716248,6689503,6571429,6612296,6543046,6596968,6591096,6569497,6648778,6541363,6639639,6580029,6493830,6606104,6578090,6508240,6546359,6504141,6525461,6406929
17,0,0,0,6729111,6701214,6583565,6624796,6555962,6609619,6602508,6582029,6662040,6554363,6652717,6592690,6506038,6618430,6590876,6521312,6559325,6517574,6537783,6419877
