rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,127,74855,74487,73697,73709,74268,67914,66743,67248,66852,66721,75091,74409,73854,74356,74009,64414,63695,63899,64283,63718
1,0,0,127,78469,78071,77210,77212,77840,70813,69618,70161,69729,69590,78739,78030,77495,77983,77594,67252,66533,66750,67142,66573
2,31,0,127,74903,74526,73739,73753,74319,67957,66783,67282,66887,66753,75141,74446,73888,74418,74039,64441,63733,63918,64317,63757
3,0,0,127,78442,78054,77195,77184,77827,70783,69609,70156,69712,69575,78731,78000,77465,77968,77563,67232,66513,66709,67110,66562
4,31,0,127,74889,74520,73742,73730,74317,67928,66784,67272,66883,66741,75122,74419,73860,74397,74023,64433,63720,63897,64302,63744
5,0,0,127,78456,78065,77212,77186,77829,70786,69617,70155,69733,69581,78736,78010,77483,77976,77584,67244,66526,66722,67119,66556
6,31,0,127,74896,74522,73747,73722,74310,67938,66783,67264,66885,66745,75131,74428,73868,74406,74037,64428,63717,63905,64299,63736
7,0,0,127,78478,78088,77227,77208,77858,70805,69627,70184,69756,69607,78777,78039,77507,78002,77600,67256,66534,66739,67156,66570
8,31,0,127,74890,74520,73737,73717,74318,67939,66766,67276,66886,66762,75125,74427,73870,74394,74029,64422,63715,63898,64313,63744
9,0,0,127,78466,78055,77220,77207,77841,70803,69616,70181,69740,69612,78753,78016,77509,77998,77589,67253,66534,66738,67156,66574
10,31,0,127,74909,74523,73726,73733,74319,67935,66770,67283,66886,66764,75126,74427,73885,74406,74020,64434,63728,63912,64311,63749
11,0,0,127,78484,78079,77205,77205,77860,70812,69614,70168,69744,69614,78748,78031,77506,77993,77581,67247,66539,66738,67156,66581
12,31,0,127,74929,74532,73733,73744,74334,67946,66779,67280,66894,66764,75112,74432,73891,74415,74027,64435,63725,63923,64332,63755
13,0,0,127,78468,78069,77199,77180,77841,70792,69603,70155,69724,69589,78702,78009,77487,77981,77567,67229,66522,66725,67146,66563
14,31,0,127,74929,74533,73738,73739,74336,67949,66785,67285,66890,66757,75111,74443,73902,74418,74026,64439,63734,63927,64330,63765
15,0,0,127,78506,78071,77213,77203,77862,70826,69630,70183,69744,69606,78750,78046,77531,78014,77600,67265,66537,66753,67166,66595
16,31,0,127,74914,74519,73716,73716,74320,67946,66781,67281,66888,66745,75112,74433,73902,74409,74036,64433,63726,63916,64332,63764
17,0,0,127,78479,78053,77181,77190,77842,70812,69607,70165,69728,69582,78721,78029,77499,77993,77583,67244,66527,66720,67153,66581
18,31,0,127,74936,74526,73733,73745,74340,67970,66790,67288,66896,66764,75133,74452,73905,74419,74041,64450,63749,63915,64348,63769
19,0,0,127,78487,78078,77197,77196,77859,70818,69610,70160,69742,69602,78742,78024,77507,77992,77582,67262,66537,66735,67161,66581
20,31,0,127,74915,74525,73726,73724,74333,67958,66767,67281,66887,66762,75123,74441,73899,74411,74035,64440,63739,63910,64339,63769
21,0,0,127,78490,78086,77219,77204,77868,70820,69622,70179,69744,69614,78745,78043,77511,78007,77593,67260,66558,66742,67174,66589
