rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6715215,6690495,6568251,6610335,6544198,6596882,6589997,6568132,6648320,6539075,6638528,6577394,6493449,6604199,6577056,6507333,6544591,6504321,6525366,6403893
1,0,0,0,6728015,6704679,6581946,6623757,6557594,6610699,6602825,6581331,6661834,6552230,6651498,6591121,6505957,6616338,6590909,6521859,6558120,6518303,6538658,6416624
2,31,0,0,6716983,6692548,6570210,6612617,6545319,6599000,6590102,6569533,6649655,6540463,6639403,6579197,6494230,6604998,6579726,6508920,6545874,6505657,6526115,6404804
3,0,0,0,6729278,6703966,6581748,6624335,6557003,6610698,6602719,6581962,6662051,6552700,6651769,6591087,6506534,6616660,6591630,6521778,6559031,6517613,6538369,6417481
4,31,0,0,6716651,6692143,6570152,6612419,6544789,6598915,6589550,6569603,6649395,6540357,6639702,6578820,6494626,6604198,6579868,6509103,6546354,6505159,6525966,6405270
5,0,0,0,6729402,6704692,6582518,6624933,6557904,6611423,6602672,6582528,6662877,6553804,6653068,6592864,6507834,6618360,6592501,6522571,6560475,6518286,6539164,6418304
6,31,0,0,6716079,6691650,6570422,6612007,6545532,6598412,6589837,6569588,6649903,6540397,6639900,6579978,6495448,6606008,6579426,6509533,6547253,6505676,6526163,6405719
7,0,0,0,6728155,6703406,6582606,6624545,6557754,6610511,6602531,6582425,6661662,6552627,6652732,6592679,6507151,6618071,6592391,6521504,6560322,6517669,6539341,6418280
8,31,0,0,6715555,6690525,6569583,6611287,6544572,6597595,6589740,6569495,6648513,6539821,6639554,6579603,6493464,6604222,6579486,6508492,6546269,6504843,6525661,6405450
9,0,0,0,6728581,6703486,6582379,6624209,6557288,6610540,6602962,6581951,6662330,6552935,6652757,6593257,6506292,6617814,6592181,6520876,6559528,6517997,6538968,6417383
10,31,0,0,6715418,6691388,6569396,6611354,6544284,6597771,6590516,6569120,6649648,6539253,6639658,6580273,6493752,6604912,6579364,6507838,6546419,6504107,6526260,6405371
11,0,0,0,6726872,6703157,6581273,6623265,6556389,6609630,6602150,6580762,6662129,6551400,6651958,6591804,6505916,6617601,6591560,6520234,6559136,6516401,6538791,6417535
12,31,0,0,6715139,6690789,6569338,6610732,6543777,6596493,6589607,6568474,6648996,6538395,6639777,6578574,6492776,6604112,6577647,6507894,6546154,6503772,6525615,6404714
13,0,0,0,6728764,6703623,6582206,6623956,6556556,6610100,6602669,6581645,6662637,6551982,6652721,6592186,6506098,6617885,6591221,6521445,6559561,6517734,6538996,6418507
14,31,0,0,6714367,6690084,6568794,6610962,6543490,6596807,6588999,6568101,6649241,6538611,6638455,6578928,6492914,6603435,6578031,6507432,6545123,6503559,6525294,6405400
15,0,0,0,6727701,6702888,6581118,6623961,6556295,6608832,6602116,6581396,6662023,6551676,6652067,6591811,6505747,6615565,6591239,6520991,6558827,6516679,6538395,6418029
16,31,0,0,6715894,6691135,6569157,6612181,6544630,6596888,6591047,6569180,6649793,6539474,6639365,6579525,6493853,6603435,6577953,6508323,6546374,6504446,6525872,6405781
17,0,0,0,6728330,6703017,6581858,6623784,6556654,6609405,6603805,6581606,6662232,6552991,6652200,6592321,6505950,6616173,6590574,6520989,6559785,6517028,6539229,6418453
18,31,0,0,6715605,6691031,6569547,6611618,6544308,6597196,6591292,6568805,6649674,6540145,6639896,6579411,6493368,6603654,6577979,6508304,6546460,6504415,6526462,6406336
19,0,0,0,6727539,6703219,6581687,6624520,6556178,6609316,6604047,6581861,6662361,6552475,6653387,6592057,6506152,6615990,6591438,6521172,6559459,6517563,6539722,6418913
20,31,0,0,6715893,6689846,6569326,6612417,6544042,6596810,6591227,6568972,6649718,6539373,6639536,6579278,6492992,6603700,6578246,6508503,6546254,6504341,6526862,6406201
21,0,0,0,6728300,6702928,6582216,6625140,6556897,6609517,6603990,6582179,6662209,6552940,6652944,6592510,6506092,6616880,6591122,6521840,6559455,6517365,6540072,6419384
22,31,0,0,6716287,6690895,6570086,6612610,6544795,6597817,6591777,6570025,6649906,6540101,6640231,6579903,6494579,6604377,6578578,6509132,6546238,6504679,6527682,6407221
23,0,0,0,6728414,6702667,6582014,6624393,6557048,6610001,6603721,6581851,6662616,6551988,6652654,6592140,6506618,6616574,6590024,6521566,6560084,6517233,6539948,6418807
24,31,0,0,6716722,6691106,6570828,6613189,6544833,6597975,6591830,6570482,6650428,6539904,6640358,6580053,6494378,6604545,6578191,6509715,6547764,6504863,6527486,6405617
25,0,0,0,6728299,6703479,6581780,6624530,6556197,6609065,6603796,6581808,6662365,6551768,6652479,6591626,6505835,6616112,6590511,6521171,6559041,6516291,6539507,6417856
26,31,0,0,6716104,6690743,6569759,6611958,6544163,6596203,6590784,6569212,6649156,6539414,6639200,6579045,6493610,6603335,6577988,6508043,6545689,6503199,6526717,6405107
27,0,0,0,6729261,6704114,6581878,6625361,6557199,6609795,6603801,6582421,6662559,6553524,6654043,6592503,6507042,6616745,6592230,6521539,6559729,6517199,6540477,6418621
28,31,0,0,6714948,6690143,6568621,6611994,6543929,6595954,6589958,6568417,6648726,6538613,6639520,6578570,6493569,6603583,6578682,6507892,6545039,6503024,6526121,6404540
29,0,0,0,6728188,6703717,6581588,6625869,6556716,6609468,6603392,6582247,6662354,6552614,6654380,6592723,6506269,6616862,6591618,6521916,6559663,6517782,6540002,6418438
30,31,0,0,6716032,6691097,6569215,6613103,6544480,6596547,6591143,6569882,6649333,6539851,6641283,6579830,6493326,6604159,6578925,6508426,6546501,6504564,6526688,6406262
31,0,0,0,6729370,6703655,6581228,6625191,6556954,6609596,6603764,6582725,6662177,6552096,6653848,6592389,6506056,6616508,6592113,6521586,6559277,6517575,6539369,6418107
32,31,0,0,6715405,6690568,6568044,6611265,6543331,6596028,6589911,6569003,6648479,6538130,6639226,6578494,6493013,6602461,6577485,6507136,6545193,6503700,6525173,6403966
33,0,0,0,6728757,6704320,6581738,6625271,6557576,6609781,6604053,6582820,6662815,6552752,6653538,6592646,6506269,6617881,6591636,6522169,6559891,6517467,6539642,6418138
34,31,0,0,6716172,6690944,6568475,6612552,6545263,6596838,6590286,6569845,6649544,6539646,6640627,6579039,6493090,6604320,6578137,6508743,6546650,6504004,6525902,6405041
