rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6715255,6689067,6567714,6608062,6544594,6592750,6589351,6569142,6646198,6538586,6636160,6577430,6492113,6602432,6575577,6507960,6546159,6502976,6523465,6402317
1,0,1,1,6729312,6702387,6581958,6622643,6558294,6606462,6602431,6582715,6660273,6552445,6650651,6591296,6505077,6617444,6590561,6522905,6560613,6516841,6536974,6416619
2,31,1,1,6716418,6688931,6569662,6610591,6545649,6593929,6589933,6569157,6647296,6539076,6637198,6578659,6492155,6605204,6577657,6509083,6547542,6504258,6523578,6403713
3,0,1,1,6729004,6702096,6582060,6623213,6557629,6607175,6602453,6581676,6661255,6552332,6650428,6591756,6504749,6618744,6589936,6522130,6560834,6517367,6537540,6416781
4,31,1,1,6716846,6689594,6568982,6610337,6545065,6594237,6589996,6569160,6648315,6538835,6637005,6579265,6492123,6604954,6577509,6508618,6547853,6503868,6524743,6404082
5,0,1,1,6729253,6701298,6580670,6623138,6556813,6607084,6602780,6581479,6661244,6551401,6650530,6592492,6504801,6617324,6589296,6521597,6560096,6516267,6536810,6416704
6,31,1,1,6716672,6689334,6569196,6611170,6545280,6595019,6591085,6568984,6648759,6540200,6637892,6580122,6492825,6605613,6577448,6509577,6547416,6504194,6524202,6404294
7,0,1,1,6729529,6701832,6580781,6623568,6557832,6607632,6603279,6581537,6661289,6552036,6650412,6592345,6504771,6618022,6589244,6522373,6560303,6516877,6537316,6417212
8,31,1,1,6716644,6688968,6569244,6610898,6545476,6594968,6590317,6569394,6648570,6538929,6637258,6579533,6491216,6604578,6576364,6508758,6547173,6503165,6524045,6404409
9,0,1,1,6728874,6700422,6581511,6622557,6557115,6606909,6602279,6581869,6660609,6551533,6649785,6591511,6503977,6617352,6589111,6521737,6559654,6516226,6536381,6416945
10,31,1,1,6717443,6689073,6570060,6611406,6546134,6595348,6590709,6569572,6648709,6539767,6637696,6579546,6492467,6606055,6577208,6509802,6548257,6504065,6524438,6405569
11,0,1,1,6728973,6701131,6581884,6623680,6557143,6607153,6602769,6581549,6661289,6551544,6649913,6592095,6504453,6618079,6589315,6522123,6560731,6516633,6537347,6417641
12,31,1,1,6715962,6688441,6569511,6611239,6545181,6593529,6590242,6569402,6648308,6539008,6637116,6579405,6491544,6605336,6576649,6509141,6547810,6503593,6523972,6404189
13,0,1,1,6728964,6700826,6582019,6624250,6557772,6607688,6603356,6582105,6661508,6552290,6650639,6592789,6505051,6617694,6589434,6522897,6561485,6516497,6537437,6416630
14,31,1,1,6716936,6689262,6569294,6611082,6546129,6595087,6591152,6569628,6648513,6539842,6637662,6579359,6492869,6605720,6577584,6509205,6548241,6503893,6525002,6404319
