rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6718548,6693582,6573706,6613242,6547150,6597385,6595985,6567425,6650905,6543796,6637809,6583815,6497174,6608522,6579268,6507836,6546453,6506131,6526968,6407485
1,0,1,1,6730533,6707093,6586720,6626527,6559260,6610531,6609451,6580927,6665244,6557152,6652243,6597900,6511134,6622536,6593099,6521630,6560959,6519488,6540902,6419527
2,31,1,1,6718897,6695419,6574911,6615661,6547532,6598165,6596964,6568607,6652524,6544987,6639856,6585626,6498629,6609413,6580268,6509507,6548368,6507390,6528013,6408021
3,0,1,1,6731371,6708094,6587011,6628158,6559425,6610557,6609349,6580646,6665551,6557160,6652343,6598461,6511199,6621255,6593488,6522627,6560920,6520538,6540173,6419556
4,31,1,1,6719059,6696107,6575351,6615912,6547702,6598256,6597490,6568661,6653079,6544925,6639874,6585281,6498963,6609350,6580821,6510053,6547871,6508116,6528519,6407900
5,0,1,1,6731413,6707799,6586675,6626983,6559288,6610197,6609141,6580707,6665767,6557347,6652139,6597821,6510682,6621803,6593191,6523203,6560815,6520449,6540561,6419656
6,31,1,1,6718817,6695296,6574799,6614276,6547263,6598140,6596334,6567857,6652541,6544128,6637927,6584477,6497382,6609561,6579368,6509911,6547194,6507057,6527303,6406560
7,0,1,1,6730880,6707347,6586432,6626733,6559264,6610200,6609018,6579856,6664993,6556362,6651593,6596851,6509710,6622130,6593051,6522908,6560450,6519746,6540342,6420002
8,31,1,1,6718623,6695547,6573525,6615068,6547057,6597705,6596701,6567731,6651982,6544082,6638883,6584325,6497813,6608700,6579666,6509882,6547144,6507048,6527208,6407176
9,0,1,1,6731872,6708263,6586795,6627864,6560005,6610503,6609680,6580813,6665104,6557180,6653093,6597494,6510128,6622366,6593351,6523435,6561021,6520654,6541137,6420507
10,31,1,1,6719149,6695745,6573837,6615625,6547636,6598414,6596841,6568503,6652107,6544862,6639099,6585027,6498115,6608998,6580384,6510845,6547385,6507542,6527569,6408967
