rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6718872,6693602,6574742,6612190,6548175,6596196,6596105,6571500,6651364,6544260,6641217,6582597,6497022,6609558,6581133,6511073,6549524,6507787,6527734,6408231
1,0,1,1,6731466,6706331,6587367,6625941,6561825,6609249,6608685,6584635,6665613,6557670,6654285,6596635,6509874,6622706,6595452,6525973,6564438,6521604,6541442,6421439
2,31,1,1,6719881,6694321,6575175,6613924,6549208,6597633,6596431,6572024,6652981,6545431,6641910,6584469,6498475,6609820,6583029,6513464,6552157,6508775,6528545,6409089
3,0,1,1,6731517,6706435,6586663,6625926,6560515,6610445,6608211,6583907,6665345,6558081,6654425,6596479,6510475,6622490,6594765,6525553,6564676,6520994,6540582,6421253
4,31,1,1,6719690,6695004,6574695,6614529,6548166,6598193,6596312,6571297,6652883,6545257,6641844,6584232,6497256,6610354,6581210,6512967,6551883,6508051,6527701,6409207
5,0,1,1,6732595,6707611,6587052,6627262,6560913,6610360,6608682,6583591,6665452,6557615,6654422,6596297,6510263,6622796,6594051,6526082,6564738,6521179,6541285,6421710
6,31,1,1,6719516,6694289,6574185,6614407,6548142,6597178,6596040,6570647,6652287,6545202,6641226,6583559,6497591,6610102,6580383,6512846,6550860,6508159,6528535,6409014
7,0,1,1,6731961,6707015,6586996,6626196,6560587,6610019,6608945,6583584,6665243,6556991,6654263,6596704,6510367,6623087,6593956,6526489,6564431,6520798,6541673,6421828
8,31,1,1,6719876,6694576,6574646,6613264,6548596,6597130,6595552,6570813,6652103,6543395,6640647,6583956,6496960,6610644,6580288,6513528,6550729,6507419,6527980,6408813
9,0,1,1,6731111,6706674,6586258,6625230,6560262,6609263,6608066,6583306,6664445,6555857,6653451,6595725,6508875,6623191,6592927,6526003,6563293,6520183,6540401,6420090
