rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
134,31,0,0,6716390,6688850,6566829,6609792,6542987,6594598,6589707,6564063,6646882,6536771,6638596,6578958,6493333,6602917,6575903,6507056,6545666,6502108,6522944,6403557
135,0,0,0,6728341,6701330,6579080,6622317,6554496,6607141,6602373,6576716,6659028,6549157,6652026,6591938,6506358,6615588,6587531,6520139,6558991,6515115,6535732,6415815
136,31,0,0,6715902,6689138,6567013,6609579,6542197,6594442,6589837,6564307,6646348,6536275,6638840,6579725,6494125,6602739,6575518,6506995,6545980,6502019,6522903,6403839
137,0,0,0,6728603,6701984,6579809,6622609,6555097,6607879,6603288,6577685,6659230,6549450,6652518,6592949,6506790,6616279,6589452,6520585,6559381,6515235,6535996,6416914
138,31,0,0,6716261,6689701,6566597,6610534,6542984,6594813,6590580,6565117,6646651,6536942,6639140,6579870,6493857,6604430,6576365,6507084,6545555,6501818,6523078,6403842
139,0,0,0,6729629,6702216,6579294,6622176,6555049,6607322,6603072,6577344,6659312,6548993,6652312,6592553,6506519,6616778,6589308,6519611,6559617,6514476,6536029,6415746
140,31,0,0,6717084,6690310,6566966,6609799,6542253,6594621,6590722,6564399,6646992,6537060,6639460,6579767,6493914,6604282,6575970,6506852,6546498,6502210,6522892,6403967
141,0,0,0,6729073,6703204,6580078,6622958,6556032,6607683,6603396,6577611,6660319,6550108,6653429,6593085,6507724,6616892,6589624,6520372,6559995,6515906,6536766,6417193
142,31,0,0,6717060,6690619,6568212,6610803,6543509,6595153,6590592,6565322,6648193,6537171,6639809,6579994,6495218,6604413,6576763,6506941,6546566,6502313,6524290,6404606
143,0,0,0,6728494,6701896,6579255,6622100,6555471,6607127,6601930,6577490,6660404,6549882,6652476,6592426,6507255,6616535,6589333,6520113,6559548,6515264,6536752,6416962
144,31,0,0,6715519,6689346,6567040,6610073,6542814,6594404,6589513,6565208,6647206,6537325,6639789,6579869,6494906,6603376,6576693,6507375,6545490,6502364,6524059,6404029
145,0,0,0,6728036,6701161,6578861,6622845,6554774,6606632,6601221,6576706,6659206,6549066,6652991,6592441,6507144,6615402,6589165,6520104,6557625,6515130,6536250,6416063
146,31,0,0,6716218,6689422,6566867,6610881,6543046,6594629,6589485,6564348,6647088,6537253,6639677,6579885,6494190,6603614,6576686,6507266,6544890,6502666,6523430,6403750
147,0,0,0,6727720,6701057,6578777,6623087,6554592,6606151,6600977,6576000,6659001,6549500,6652086,6592300,6506064,6615550,6588870,6519612,6557419,6514298,6536064,6415558
148,31,0,0,6716946,6689398,6567233,6611176,6543260,6594778,6589219,6565019,6646767,6537766,6639689,6580221,6494686,6603474,6576543,6507113,6545083,6502418,6523667,6404181
149,0,0,0,6729066,6701247,6579235,6623740,6554269,6606573,6601765,6576613,6658775,6549898,6652260,6592893,6506735,6615189,6588962,6519591,6558545,6515214,6535792,6415956
150,31,0,0,6716487,6689446,6567332,6611048,6541788,6595124,6589877,6563745,6646450,6537352,6639622,6580307,6494352,6602907,6576760,6506539,6545712,6502495,6523762,6403255
151,0,0,0,6728638,6702007,6579342,6623207,6554386,6606674,6601845,6576457,6659026,6550120,6652176,6592323,6506793,6616044,6590071,6519283,6558674,6515180,6536497,6415413
152,31,0,0,6716944,6690187,6568422,6611288,6543446,6595198,6590165,6564109,6647385,6537706,6640010,6580435,6495081,6603516,6577705,6507171,6545788,6502247,6524068,6404420
153,0,0,0,6728866,6701498,6579594,6622766,6554060,6607410,6601946,6576051,6659985,6549444,6652418,6592517,6507203,6615588,6589032,6519587,6558295,6514483,6536103,6415122
154,31,0,0,6716385,6689405,6567567,6610901,6542085,6594911,6589451,6564057,6647062,6537688,6639798,6580380,6494321,6604104,6575811,6506919,6545974,6502135,6523383,6403226
155,0,0,0,6728650,6700819,6579578,6622498,6554435,6606818,6601725,6576397,6659621,6549373,6652761,6592825,6506410,6615417,6588238,6519348,6558694,6514610,6535932,6415305
156,31,0,0,6716403,6689088,6566975,6609826,6542271,6594704,6589621,6563480,6646815,6537139,6639255,6579958,6494358,6603146,6576225,6506300,6545287,6501894,6522641,6402564
157,0,0,0,6729132,6702350,6580241,6623438,6555473,6607894,6603158,6576397,6659777,6550890,6653746,6593245,6507347,6616920,6590064,6519946,6559783,6515146,6536744,6415955
158,31,0,0,6718168,6690864,6568497,6611195,6544445,6595723,6591515,6565103,6648247,6538066,6641123,6581697,6495617,6605363,6578246,6508238,6547597,6503545,6525079,6404881
159,0,0,0,6728958,6701387,6579002,6622842,6554866,6607071,6602908,6576104,6659363,6549518,6652919,6592803,6506079,6616152,6589270,6519765,6558768,6515161,6536338,6415732
160,31,0,0,6717456,6689467,6567648,6611330,6543309,6595411,6591376,6564431,6647124,6537754,6640589,6580600,6494699,6605003,6577299,6507472,6546662,6502982,6524085,6403989
161,0,0,0,6729153,6702393,6580094,6623693,6555740,6607231,6603263,6576879,6659567,6550752,6653418,6592989,6507622,6617194,6589783,6520357,6560540,6515495,6537288,6416127
162,31,0,0,6716618,6689000,6567494,6610656,6542834,6594274,6589965,6564123,6646646,6537403,6639942,6579699,6494790,6604271,6577070,6506615,6546367,6502489,6524069,6403564
163,0,0,0,6728744,6701255,6579507,6622953,6555202,6607058,6602551,6576576,6659081,6549640,6653105,6592198,6507054,6616935,6588931,6519338,6558990,6515483,6536388,6416012
164,31,0,0,6716409,6689438,6567627,6610140,6542790,6594596,6590390,6564342,6646684,6536748,6640355,6579418,6494439,6604575,6575585,6506616,6546319,6502430,6523347,6403081
165,0,0,0,6728747,6701592,6579273,6621997,6554857,6605836,6602235,6576444,6658813,6549478,6653321,6592500,6506257,6616340,6588708,6519272,6559287,6514668,6535028,6415584
166,31,0,0,6717051,6689884,6567598,6610187,6543762,6594933,6590773,6564843,6646692,6537800,6641103,6580755,6494494,6604705,6576842,6507130,6547400,6502782,6522370,6404216
167,0,0,0,6728336,6701483,6579307,6621933,6555066,6606417,6601488,6577178,6658543,6550035,6653254,6592615,6506251,6615890,6588624,6519437,6559181,6514905,6534887,6415571
168,31,0,0,6715399,6688576,6566682,6609719,6543063,6594258,6589669,6564188,6646213,6537021,6639750,6579627,6494255,6603680,6575493,6506349,6545875,6501920,6522389,6403294
169,0,0,0,6727937,6701221,6578756,6622143,6555128,6606493,6601845,6576487,6658565,6549642,6652367,6592284,6505867,6616243,6587428,6519095,6558701,6514977,6535356,6415547
170,31,0,0,6716467,6688356,6566229,6610222,6543236,6594928,6589905,6564878,6646762,6537800,6639963,6580350,6494104,6603034,6576351,6506647,6547244,6502026,6522859,6403973
171,0,0,0,6728678,6700785,6578182,6622388,6555502,6607654,6602408,6576548,6658898,6550125,6652851,6592046,6506171,6615286,6589615,6519640,6559510,6514153,6535530,6416176
172,31,0,0,6716692,6688376,6566679,6610545,6542835,6594686,6590077,6564476,6646469,6537308,6639693,6579954,6494191,6603395,6576341,6506669,6546713,6502259,6523155,6403784
