rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6716976,6689161,6567565,6609022,6545337,6595133,6590375,6564200,6647995,6539587,6640128,6579093,6495477,6603801,6574711,6505223,6549063,6502032,6523852,6404168
1,0,0,0,6729161,6701733,6579688,6621973,6557392,6607774,6602974,6577341,6660306,6552030,6652448,6591687,6508696,6617059,6587893,6519406,6562302,6514554,6537523,6418026
2,31,0,0,6716537,6688980,6566582,6609354,6544858,6594781,6589088,6564845,6647222,6539705,6639703,6578304,6495756,6604769,6574662,6507403,6548046,6501840,6524037,6404830
3,0,0,0,6729532,6702096,6579892,6623767,6557490,6608512,6602858,6578541,6660615,6552861,6653503,6592096,6509366,6618753,6588771,6520909,6562088,6515548,6538335,6417753
4,31,0,0,6717405,6689342,6567663,6611907,6545621,6596306,6591306,6566614,6648278,6540192,6640525,6579890,6496711,6605230,6576016,6508150,6549662,6502842,6526051,6404955
5,0,0,0,6729067,6701325,6579006,6623763,6556734,6607971,6602578,6578043,6660703,6552345,6653246,6591679,6508251,6617283,6587890,6521096,6562112,6514966,6538195,6417232
6,31,0,0,6717098,6690101,6567704,6611609,6544887,6596510,6590528,6566049,6647975,6540047,6640874,6579489,6496100,6605356,6576326,6508766,6549398,6502579,6525526,6405421
7,0,0,0,6729191,6702259,6579831,6623879,6556986,6608961,6603216,6578324,6660260,6552856,6653334,6591765,6508437,6618010,6588660,6521242,6561774,6515844,6538225,6417677
8,31,0,0,6717090,6689986,6567566,6611345,6545195,6596541,6591570,6565442,6647945,6539519,6640070,6578949,6495143,6605510,6575977,6507810,6548636,6502746,6525008,6404981
9,0,0,0,6729419,6701688,6579328,6622872,6556836,6607970,6603306,6578015,6659812,6550992,6652770,6591768,6507053,6617276,6587493,6520118,6561248,6514733,6537019,6416717
10,31,0,0,6717277,6689876,6567374,6611004,6544697,6596140,6590670,6566149,6647782,6539084,6640502,6579587,6495330,6605253,6576270,6508145,6548945,6502780,6524345,6405466
11,0,0,0,6730307,6701893,6580343,6623945,6557331,6608950,6603575,6578240,6661256,6553258,6654022,6592830,6508160,6618648,6589651,6521952,6562362,6515023,6537979,6418060
12,31,0,0,6717115,6688710,6567762,6610723,6544134,6595540,6590257,6565608,6647932,6539606,6639374,6578866,6494743,6604955,6575217,6508158,6548670,6501605,6524864,6404766
13,0,0,0,6730038,6701617,6579735,6623267,6556845,6608431,6602747,6578664,6661052,6552457,6653374,6592050,6507519,6618677,6588698,6520926,6561321,6514836,6538083,6417666
14,31,0,0,6717468,6689751,6568082,6611087,6544917,6595165,6590382,6565650,6648546,6540072,6640245,6579430,6495542,6604975,6576001,6508081,6548390,6502124,6524976,6405119
15,0,0,0,6729189,6700817,6579140,6622767,6556533,6607203,6601785,6577525,6660711,6552026,6652843,6592216,6508214,6616865,6588227,6520965,6561312,6514827,6536925,6417209
16,31,0,0,6718340,6689827,6568530,6611502,6545452,6596094,6591059,6566062,6649337,6540056,6640920,6580999,6496773,6605364,6576064,6508448,6549723,6502984,6524743,6405720
17,0,0,0,6729669,6701643,6580147,6623282,6556879,6607829,6603492,6577565,6661282,6552171,6653432,6592944,6508925,6617562,6588397,6520605,6562016,6515077,6537559,6417532
