rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6716516,6691377,6570175,6614308,6545580,6597397,6593202,6566874,6649297,6542019,6640066,6581152,6492901,6608085,6576668,6506072,6546255,6503950,6525743,6407597
1,0,0,0,6728833,6704370,6582730,6628491,6558570,6610492,6607255,6580320,6662366,6555162,6653534,6594505,6506190,6622530,6590259,6519936,6560047,6517006,6539241,6420195
2,31,0,0,6716907,6692460,6571190,6616278,6546159,6598543,6594203,6567878,6650080,6542886,6640533,6581934,6494305,6610316,6577075,6507192,6546905,6504201,6525983,6407681
3,0,0,0,6729636,6703946,6582880,6627542,6558334,6611158,6606279,6580432,6662445,6555288,6653083,6594601,6506413,6622342,6589818,6519531,6560464,6517526,6538331,6420214
4,31,0,0,6716881,6692164,6570338,6615807,6545180,6598663,6593967,6567706,6649958,6542946,6639574,6582066,6493209,6609196,6577078,6506704,6547084,6503751,6525704,6407858
5,0,0,0,6729385,6705354,6583363,6628639,6557314,6611630,6606480,6580359,6663362,6555934,6653435,6594963,6506842,6622798,6590194,6520176,6560844,6517064,6539235,6421910
6,31,0,0,6716112,6692059,6571591,6615812,6545202,6599200,6594049,6566927,6649996,6542322,6639947,6582321,6493515,6608631,6577067,6506633,6546772,6504512,6525940,6409363
7,0,0,0,6728737,6703767,6583237,6628501,6557352,6611958,6606081,6579705,6663404,6555269,6653150,6594715,6506260,6620676,6589800,6520282,6560128,6517389,6539142,6421169
8,31,0,0,6715837,6691029,6570524,6616065,6545091,6598516,6593461,6566262,6649811,6541929,6639758,6582071,6493558,6608623,6575991,6506709,6546382,6504002,6526426,6407632
9,0,0,0,6728746,6703904,6583442,6628806,6557142,6611393,6606691,6579458,6663013,6555450,6653331,6595031,6506149,6622300,6589216,6520196,6560109,6517826,6539725,6420770
10,31,0,0,6715405,6691209,6570581,6615410,6544470,6598477,6593898,6566546,6649800,6541794,6640131,6582013,6492756,6608987,6576055,6506200,6546685,6504089,6525994,6408072
11,0,0,0,6729381,6704491,6583534,6628834,6557368,6611728,6606319,6579850,6662963,6555283,6653997,6594764,6505749,6622333,6590539,6520221,6560997,6517661,6539850,6421409
12,31,0,0,6716404,6692775,6571350,6616387,6544699,6598887,6594279,6567351,6650351,6542662,6640939,6581751,6493739,6609734,6578042,6506994,6548107,6505199,6526920,6409560
13,0,0,0,6728843,6705113,6583450,6628020,6557139,6611252,6606273,6579819,6662474,6554560,6653239,6593829,6505571,6621087,6590158,6519455,6560389,6517130,6539140,6421511
14,31,0,0,6715863,6692699,6570956,6616013,6545489,6598333,6593935,6566972,6649880,6542009,6640327,6581149,6493226,6608514,6577665,6506324,6547592,6504325,6526652,6409233
15,0,0,0,6728527,6704409,6582492,6628014,6557783,6611460,6606661,6579176,6662888,6554503,6653478,6594352,6505690,6621045,6590550,6519135,6560579,6517055,6538658,6421206
16,31,0,0,6715931,6692412,6570396,6615616,6544805,6598593,6594294,6566377,6649290,6541566,6640751,6582067,6493188,6608799,6577624,6506702,6547660,6504055,6526638,6408539
17,0,0,0,6727702,6704220,6581997,6627456,6556675,6609880,6605742,6578439,6660865,6553486,6652305,6594121,6505150,6619504,6589600,6518750,6559472,6516324,6538599,6419612
