rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,0,6715989,6690532,6570107,6611918,6545008,6598364,6591422,6568743,6648217,6541051,6638598,6580107,6494678,6606486,6577410,6505783,6545988,6503041,6524595,6406807
1,0,1,0,6728071,6702908,6581372,6625030,6557512,6610641,6603487,6581524,6661571,6552903,6651393,6593429,6507335,6618913,6590873,6518931,6559641,6516598,6538242,6418744
2,31,1,0,6716728,6690732,6569607,6613684,6546265,6599329,6591702,6569671,6649431,6541055,6638549,6582158,6495421,6607854,6578492,6506768,6547002,6504711,6526123,6406253
3,0,1,0,6728107,6701722,6581544,6625458,6558311,6610705,6603227,6581720,6661614,6553022,6651172,6593775,6507539,6619856,6590221,6519650,6558588,6516361,6538295,6418274
4,31,1,0,6715326,6689711,6569774,6614349,6545878,6598657,6591730,6569213,6649049,6540506,6639055,6581298,6495468,6607449,6577169,6506789,6545539,6504329,6526074,6406535
5,0,1,0,6726884,6701205,6580939,6625692,6557128,6610159,6603394,6581002,6660682,6552484,6650631,6593290,6506809,6618841,6589871,6518247,6557270,6515484,6537650,6417737
6,31,1,0,6715188,6689812,6569357,6614433,6545539,6598166,6591672,6569286,6648596,6540549,6638735,6581052,6495406,6606878,6578580,6506445,6545280,6503888,6525199,6406437
7,0,1,0,6727702,6702697,6581622,6626237,6557981,6610107,6604217,6581329,6661104,6553147,6651165,6594012,6508041,6620009,6591692,6519062,6558299,6516251,6538279,6419045
8,31,1,0,6714526,6688934,6568995,6613888,6545668,6597955,6591793,6568927,6648554,6539876,6637929,6581362,6495066,6606888,6577437,6505934,6545601,6502979,6524835,6406778
9,0,1,0,6727396,6701788,6581353,6626268,6557795,6611181,6604719,6581843,6661434,6552597,6651427,6594217,6507350,6619552,6589949,6518464,6558510,6516067,6537532,6419519
10,31,1,0,6715496,6689676,6569178,6612927,6546014,6598177,6592408,6569099,6648979,6540232,6638831,6581455,6494848,6606348,6577447,6505873,6545609,6502848,6524588,6406547
11,0,1,0,6728418,6703511,6582081,6626151,6557923,6611462,6605632,6581872,6662537,6553542,6652077,6594779,6507565,6619764,6590811,6519841,6559480,6516583,6538317,6419966
12,31,1,0,6715919,6691466,6570524,6613967,6546594,6599306,6593309,6570100,6649645,6541072,6639522,6582610,6495652,6607252,6578690,6507660,6546539,6504133,6525976,6407644
13,0,1,0,6728339,6703602,6581400,6625762,6558052,6611052,6605770,6581905,6662005,6553751,6651742,6594549,6507906,6620313,6591364,6521028,6559156,6516762,6538257,6420178
14,31,1,0,6715998,6691352,6569120,6613335,6546210,6598823,6593334,6569326,6649181,6540459,6638189,6581390,6495117,6606866,6578880,6507713,6546105,6503519,6525236,6407371
15,0,1,0,6728448,6703912,6582016,6625431,6557990,6611142,6605245,6581155,6662329,6553662,6651342,6594293,6507325,6619741,6591321,6520308,6559565,6516537,6538452,6420345
16,31,1,0,6716046,6691722,6570526,6613273,6546254,6599677,6593208,6568631,6649763,6540764,6638624,6581685,6495588,6607412,6579029,6507424,6546719,6504263,6525480,6408008
17,0,1,0,6727996,6703625,6582049,6625996,6558085,6611938,6604810,6580666,6662538,6553190,6650895,6593850,6507747,6619814,6591337,6519669,6559316,6516495,6538346,6420035
18,31,1,0,6715833,6692062,6570912,6614818,6546732,6600464,6593670,6570482,6651134,6541775,6639586,6581990,6496288,6609013,6578931,6507825,6546908,6504853,6526399,6407244
19,0,1,0,6728108,6703516,6582716,6627111,6558116,6612383,6605765,6582662,6663441,6553953,6652635,6594284,6508394,6621467,6591957,6520733,6559212,6517367,6538887,6419706
20,31,1,0,6716168,6691568,6571005,6614356,6545658,6599719,6593220,6570068,6650105,6541387,6639675,6581274,6495599,6607992,6578095,6507396,6545916,6504606,6525964,6406865
21,0,1,0,6728491,6702811,6583198,6627255,6557900,6613061,6605776,6582275,6662591,6553947,6653154,6594968,6508238,6620518,6591749,6520136,6559779,6517364,6539483,6419348
22,31,1,0,6716639,6690755,6571309,6614839,6545649,6600411,6593242,6570004,6649580,6541365,6640323,6582196,6495500,6607351,6578581,6507167,6545977,6504443,6526973,6407278
23,0,1,0,6729167,6703370,6583577,6627143,6558458,6612606,6606081,6582329,6662588,6554887,6653149,6594674,6507585,6620419,6591362,6520493,6559182,6517288,6539571,6419585
24,31,1,0,6716469,6690808,6571513,6614382,6545778,6599835,6593657,6570049,6649770,6541208,6639991,6581983,6494889,6607336,6578619,6507017,6545522,6504592,6526950,6406435
25,0,1,0,6728409,6702335,6583174,6626854,6557984,6611757,6605261,6582198,6661713,6553370,6652285,6594885,6507506,6619938,6591327,6519299,6558584,6516980,6539390,6418352
26,31,1,0,6715952,6689784,6570571,6614546,6546001,6599674,6592951,6569790,6649067,6540765,6638676,6582367,6495527,6607825,6578585,6506700,6546307,6503627,6526121,6406070
27,0,1,0,6728464,6701301,6582168,6626331,6557482,6611221,6604816,6581641,6661367,6552953,6652057,6594351,6506818,6620748,6591202,6519110,6558392,6516367,6538906,6417936
28,31,1,0,6717140,6690490,6571022,6615167,6546807,6600076,6593133,6570117,6649848,6541336,6639897,6582407,6495943,6609572,6579870,6507801,6546175,6504981,6526134,6406712
29,0,1,0,6729156,6702175,6582706,6626474,6558706,6611788,6604878,6582041,6662541,6553361,6652692,6594421,6507474,6621568,6591303,6519742,6558059,6517254,6538672,6419356
30,31,1,0,6716820,6689401,6570257,6614383,6545053,6599276,6592155,6569152,6649278,6540468,6639253,6581073,6495032,6608172,6577811,6506787,6544310,6503525,6525120,6406196
31,0,1,0,6730400,6702996,6583630,6628052,6558703,6613010,6606238,6582794,6663069,6553795,6653342,6595370,6509094,6621834,6592017,6520636,6558802,6517779,6539396,6420314
32,31,1,0,6717066,6690443,6570823,6615169,6546656,6600590,6593331,6569927,6649443,6541076,6640900,6582132,6496408,6608232,6578636,6507230,6545271,6504633,6526379,6407183
33,0,1,0,6729160,6702621,6582444,6626355,6558513,6612841,6605568,6582129,6661706,6553065,6653258,6594430,6508143,6620905,6591047,6519843,6558170,6516683,6538360,6419196
34,31,1,0,6716547,6690411,6570360,6614435,6545916,6600007,6592976,6569321,6649569,6540793,6639657,6582050,6496157,6608910,6579179,6506553,6545337,6503923,6525712,6406514
35,0,1,0,6728018,6702936,6581987,6627101,6557676,6612050,6605007,6581875,6662087,6553235,6652767,6594057,6508189,6620925,6591774,6520164,6558269,6516516,6538196,6418673
36,31,1,0,6716449,6690974,6570117,6614298,6546012,6600059,6592206,6569665,6649604,6540510,6640023,6581444,6495638,6608972,6578456,6507236,6545783,6504033,6525958,6407081
37,0,1,0,6729462,6703085,6582556,6626950,6559049,6612344,6605023,6582582,6662831,6553858,6653302,6595075,6508871,6621776,6591404,6520360,6559192,6517444,6539196,6419693
38,31,1,0,6717599,6691446,6570938,6615158,6547424,6600540,6593655,6570532,6650029,6541909,6641395,6582513,6495963,6608826,6578702,6507981,6546649,6504620,6526653,6407503
39,0,1,0,6728634,6703104,6581914,6626188,6558006,6611821,6605630,6581707,6662101,6553146,6653256,6594745,6507735,6620832,6590572,6520717,6558823,6516523,6538107,6419033
40,31,1,0,6715508,6690358,6568527,6613816,6545483,6598715,6592710,6568790,6649462,6540588,6639856,6581081,6495081,6608278,6577352,6507044,6544937,6503396,6524527,6406375
41,0,1,0,6729041,6703159,6581539,6627685,6558583,6612148,6605401,6581770,6662680,6554109,6653228,6594780,6508115,6621038,6590864,6520057,6558148,6517273,6538377,6419827
42,31,1,0,6715708,6690647,6569118,6615174,6546020,6599629,6593143,6569374,6649855,6540938,6639957,6581902,6495277,6608888,6577532,6507328,6545228,6503488,6525090,6406969
43,0,1,0,6727761,6703319,6581769,6627352,6558277,6612029,6605894,6581994,6662509,6554561,6653562,6594657,6508114,6621899,6591197,6520503,6558667,6517045,6537680,6420027
44,31,1,0,6715919,6691473,6569495,6614893,6546112,6600128,6593379,6569049,6649684,6541689,6640317,6581970,6496542,6608438,6578743,6507193,6546231,6504836,6525514,6407393
45,0,1,0,6728494,6703478,6582163,6627522,6558916,6612602,6605384,6581748,6662389,6553616,6653067,6594687,6508896,6620301,6591136,6519945,6559276,6517533,6538298,6419643
46,31,1,0,6716674,6690997,6569883,6614398,6545860,6599438,6593012,6568575,6649375,6540920,6640074,6581951,6496499,6607197,6577986,6507506,6545711,6504184,6525337,6406499
47,0,1,0,6728724,6703464,6581959,6627810,6558785,6612310,6605605,6581568,6662999,6553972,6653294,6594509,6508889,6619110,6591591,6520885,6558630,6517183,6539588,6419749
48,31,1,0,6716464,6691485,6570090,6614897,6545903,6599544,6592586,6569594,6650053,6541432,6640120,6581941,6496044,6607663,6578994,6506867,6545630,6504580,6526384,6406736
49,0,1,0,6729643,6703766,6583060,6628062,6558723,6612360,6606081,6582292,6662886,6554589,6653669,6594789,6509446,6620877,6592363,6520251,6559085,6517486,6539552,6420134
50,31,1,0,6717270,6690883,6571193,6615843,6546972,6599748,6593739,6569943,6650489,6542091,6640276,6582426,6497145,6607861,6579536,6507981,6546316,6503953,6527116,6407646
51,0,1,0,6730355,6703608,6583032,6627527,6558942,6611807,6605464,6582772,6662704,6554154,6652900,6595186,6508869,6620756,6591958,6520383,6559026,6517533,6540020,6420003
52,31,1,0,6716418,6690865,6569785,6614445,6546121,6598290,6592126,6568837,6648905,6540514,6638660,6581768,6495270,6607312,6578216,6506787,6544955,6503396,6526025,6406466
53,0,1,0,6729752,6703220,6582232,6626955,6558912,6611166,6604988,6581832,6662218,6553726,6651539,6594718,6507944,6619884,6591153,6519955,6559100,6516538,6539291,6419266
54,31,1,0,6716671,6690265,6570167,6614279,6545471,6598851,6592080,6568635,6649293,6540909,6638210,6581135,6495431,6606765,6578209,6506589,6544959,6503796,6525280,6405923
55,0,1,0,6729274,6703536,6582229,6625992,6558122,6611554,6604304,6581199,6662100,6554308,6651478,6594212,6508235,6619682,6591324,6519689,6559029,6516323,6538882,6418737
56,31,1,0,6717809,6691971,6570601,6614951,6546578,6599794,6591819,6569384,6650020,6542270,6639301,6582300,6496167,6607586,6579107,6507746,6546215,6504164,6527177,6406975
57,0,1,0,6728712,6703995,6582739,6627508,6558790,6612401,6604412,6582029,6662305,6554411,6652645,6595586,6509139,6620788,6592126,6520873,6559084,6517440,6539692,6420355
58,31,1,0,6715856,6691127,6570289,6614780,6546058,6599386,6592284,6569037,6649180,6540812,6639196,6582437,6495990,6607474,6578961,6506811,6545264,6503830,6526239,6407276
59,0,1,0,6728622,6703974,6583107,6626954,6558909,6611999,6605031,6581888,6662302,6554311,6652048,6595283,6508786,6619728,6591753,6520198,6558605,6517652,6539613,6419626
60,31,1,0,6716105,6690970,6570802,6614426,6546117,6598964,6592740,6569343,6649663,6541083,6638861,6582406,6496253,6606807,6579423,6507195,6545252,6504279,6527158,6407416
61,0,1,0,6729007,6703947,6583250,6627378,6559644,6612554,6605429,6582521,6662643,6554364,6652825,6595933,6509037,6620934,6592248,6521286,6559336,6517646,6540606,6420529
62,31,1,0,6715929,6691080,6569902,6614260,6546706,6599254,6592014,6569171,6649072,6540718,6638741,6582620,6495972,6607102,6578511,6507540,6545485,6504371,6526615,6406954
63,0,1,0,6727844,6702942,6581203,6625736,6558556,6610985,6604093,6580845,6661368,6553171,6650664,6594413,6507698,6620029,6590587,6520346,6558023,6516729,6538656,6419105
64,31,1,0,6715338,6690424,6569413,6613710,6546251,6598230,6592010,6569134,6648774,6540327,6637386,6581515,6494886,6606950,6577815,6506868,6544705,6502776,6525482,6406752
65,0,1,0,6727671,6702806,6581647,6626290,6558632,6611307,6605388,6581190,6661754,6552944,6650783,6594779,6507536,6620489,6589926,6520510,6558218,6515986,6538954,6419000
66,31,1,0,6715014,6690726,6569002,6613748,6545958,6598728,6593159,6568783,6649207,6540391,6637729,6581886,6495633,6607533,6577545,6507914,6544815,6503027,6526359,6406994
67,0,1,0,6727086,6703239,6580333,6625935,6558703,6610433,6605003,6581029,6661337,6553155,6650572,6593958,6507348,6619211,6590385,6520323,6557848,6516085,6538709,6419154
68,31,1,0,6715661,6691278,6569014,6614601,6546534,6598989,6592529,6569443,6649588,6540525,6638886,6581696,6495359,6607446,6577070,6508204,6546024,6504241,6526455,6407341
69,0,1,0,6727797,6703271,6580848,6626303,6558561,6610814,6604823,6580930,6660948,6553064,6650913,6593932,6506895,6619647,6589951,6520277,6558329,6516870,6538657,6419083
70,31,1,0,6716909,6691760,6569696,6614837,6547432,6599229,6593146,6569511,6648954,6541276,6639096,6582048,6495083,6607771,6577897,6508137,6545287,6504933,6526770,6407909
71,0,1,0,6728944,6704083,6581183,6626495,6559111,6611232,6605365,6581587,6660911,6553609,6650903,6594104,6506998,6620391,6590241,6519889,6557620,6516889,6539196,6419834
72,31,1,0,6716542,6692571,6570066,6614093,6547537,6599060,6593193,6569781,6649255,6541620,6638771,6582525,6494799,6608969,6577304,6507962,6545731,6504941,6526752,6407096
73,0,1,0,6727496,6703932,6581097,6626569,6558283,6610688,6605334,6581514,6661282,6553487,6650932,6594522,6506627,6619490,6589169,6519835,6557693,6516754,6538396,6418544
74,31,1,0,6715447,6690868,6568232,6612637,6545583,6597240,6591953,6568738,6647932,6540063,6637278,6581390,6494498,6607282,6576695,6506592,6545180,6503265,6525422,6405961
75,0,1,0,6728344,6703584,6580834,6625344,6558150,6610414,6605055,6581928,6660891,6553266,6651080,6594041,6507555,6620470,6589654,6519921,6558904,6516661,6538443,6418292
76,31,1,0,6714085,6689872,6568146,6612505,6544909,6597746,6591216,6568509,6647578,6540123,6638232,6580853,6494046,6606022,6576661,6506232,6544447,6502661,6524376,6404763
77,0,1,0,6727154,6702721,6581373,6625668,6557829,6611359,6604703,6581704,6660940,6553172,6651000,6594073,6507001,6619469,6590325,6519369,6558194,6516397,6538232,6418526
78,31,1,0,6715641,6689816,6568386,6613323,6544999,6598326,6592337,6569090,6648863,6540215,6638227,6581152,6494698,6606271,6577068,6506387,6543906,6504073,6525934,6406041
79,0,1,0,6727881,6702050,6580606,6625617,6557549,6610319,6604764,6581540,6661356,6552636,6651633,6593801,6507087,6619055,6590475,6519456,6557124,6516480,6538911,6418016
80,31,1,0,6716074,6690110,6569188,6614373,6545317,6598358,6592812,6569469,6649459,6540919,6639873,6582420,6495221,6607566,6578186,6507643,6545168,6504325,6526715,6406208
81,0,1,0,6727978,6702761,6580057,6625563,6558082,6611254,6605113,6581522,6661205,6553358,6651860,6594599,6506910,6619819,6590378,6519830,6557829,6516777,6539108,6417836
82,31,1,0,6715498,6690606,6569418,6613902,6546424,6599631,6593007,6569770,6649528,6541118,6639802,6582857,6495152,6607869,6578171,6507579,6545477,6504510,6526460,6406182
83,0,1,0,6727636,6702728,6581306,6626145,6558633,6611876,6605051,6581684,6662451,6554533,6652555,6595035,6507674,6620380,6591018,6519856,6558928,6517022,6539202,6419011
84,31,1,0,6715477,6690444,6569632,6613682,6546883,6598950,6592234,6569606,6649645,6541738,6639265,6582822,6495223,6608184,6578262,6507222,6545595,6504486,6526270,6406007
85,0,1,0,6727643,6703333,6580962,6626189,6559568,6611543,6604967,6582290,6661904,6553327,6651879,6594769,6507670,6620966,6591426,6519974,6559056,6517017,6539091,6419223
86,31,1,0,6715630,6690695,6568200,6613238,6546785,6598666,6592070,6569416,6648400,6540301,6638971,6581164,6494274,6607466,6577915,6506380,6545103,6502748,6526290,6406201
87,0,1,0,6726995,6703207,6581161,6626270,6558675,6611335,6604940,6581672,6661417,6553108,6651896,6594842,6507153,6620560,6591096,6519769,6558356,6516370,6539202,6418789
88,31,1,0,6715699,6690907,6569045,6614127,6546663,6599376,6592736,6569560,6648972,6540770,6639579,6582737,6494475,6607744,6579105,6507242,6545291,6504153,6526606,6406493
89,0,1,0,6727937,6703044,6581284,6626213,6559012,6612022,6605004,6581219,6661980,6553411,6651975,6594993,6506750,6619835,6591666,6519807,6557366,6516922,6539530,6418821
90,31,1,0,6716076,6691010,6569574,6614713,6546697,6599200,6592680,6569231,6649749,6540940,6639334,6582143,6494844,6608100,6578779,6507357,6545116,6503798,6526119,6406670
91,0,1,0,6728277,6703822,6582367,6627611,6558222,6611554,6604773,6581806,6662774,6554212,6651935,6595012,6507459,6620462,6591079,6520820,6558046,6517025,6539296,6419706
92,31,1,0,6714906,6691454,6569518,6614340,6545622,6599446,6592137,6568796,6649714,6541496,6639481,6582332,6495154,6607859,6578512,6507839,6544739,6503906,6526040,6406771
93,0,1,0,6727049,6703270,6581492,6626123,6557735,6611401,6603952,6581368,6661703,6553067,6652442,6594777,6507828,6620337,6590984,6520763,6557473,6516823,6538955,6419050
94,31,1,0,6714975,6691002,6568801,6613809,6545824,6599200,6592284,6569176,6649040,6540101,6639395,6581870,6495354,6606598,6578165,6507871,6544492,6504202,6526349,6406772
