rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6713966,6688949,6569525,6612513,6543281,6594148,6591231,6569150,6646021,6541327,6638112,6577756,6493849,6604950,6578050,6504481,6544715,6503411,6525074,6405645
1,0,0,0,6726931,6701837,6581980,6625675,6556043,6607281,6604561,6582287,6659966,6553970,6652147,6591226,6506836,6619562,6591269,6518242,6558651,6517130,6538103,6418148
2,31,0,0,6715616,6690598,6570365,6614921,6544439,6595813,6592720,6569873,6648202,6541843,6639456,6579166,6495058,6606973,6578507,6506074,6546497,6503980,6525944,6406600
3,0,0,0,6727529,6703161,6582351,6627089,6556549,6608176,6604246,6582189,6660861,6555198,6651641,6592661,6507410,6619651,6591330,6518734,6559067,6517134,6538557,6419664
4,31,0,0,6715172,6690513,6570080,6615454,6544818,6595872,6592487,6570246,6648276,6541978,6639717,6581237,6494636,6607729,6578506,6506268,6546759,6504342,6525867,6407244
5,0,0,0,6727241,6702593,6582128,6626895,6556431,6608010,6604004,6581899,6660495,6553510,6651848,6592969,6506336,6619800,6590684,6518340,6560688,6516618,6537698,6419559
6,31,0,0,6716037,6691169,6570411,6614354,6544436,6596374,6592555,6570269,6648114,6541085,6639424,6580404,6494574,6607614,6578813,6505674,6547584,6503846,6525312,6407615
7,0,0,0,6727585,6703100,6581595,6626291,6555800,6608489,6604239,6582579,6660397,6553023,6651490,6592466,6506293,6618942,6590236,6517761,6560053,6516009,6538534,6419233
8,31,0,0,6715724,6690680,6570041,6614440,6544203,6595726,6591910,6570294,6648727,6541627,6638898,6580349,6494565,6607754,6578579,6505899,6547020,6503153,6526214,6406393
9,0,0,0,6728062,6703072,6582387,6627131,6556795,6608353,6605205,6583153,6662093,6554878,6652009,6593123,6506986,6620711,6591385,6519346,6560364,6516675,6539523,6419545
