rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,1,6714875,6689441,6567462,6608649,6541625,6593403,6590432,6567986,6646286,6537909,6638371,6576570,6491399,6602611,6576456,6505420,6544191,6501447,6523964,6401909
1,0,1,1,6727873,6702373,6579678,6621927,6554644,6607575,6602265,6580185,6659467,6551028,6650644,6589809,6504613,6616154,6590380,6518834,6557836,6514901,6537199,6414667
2,31,1,1,6715342,6690258,6567926,6609492,6542980,6595261,6589887,6567922,6646768,6537716,6637950,6577960,6493095,6603920,6577985,6505917,6544527,6501971,6523517,6403084
3,0,1,1,6727341,6702083,6579972,6622502,6555062,6607603,6602539,6580724,6659259,6551092,6650649,6590227,6504792,6615959,6589902,6518563,6556936,6514707,6536654,6415000
4,31,1,1,6715603,6690639,6568227,6610725,6543362,6595213,6590384,6568778,6646930,6538334,6638760,6578557,6493466,6603642,6577671,6505753,6543855,6502253,6524144,6403374
5,0,1,1,6728719,6702683,6580411,6623910,6556122,6607548,6602670,6581391,6659457,6551504,6651944,6591893,6506443,6617046,6590320,6518734,6558189,6515145,6537773,6416207
6,31,1,1,6715674,6690074,6567576,6610504,6543155,6594614,6589515,6568899,6646370,6539079,6638453,6577800,6493253,6603404,6576772,6505080,6544823,6501468,6523419,6403517
7,0,1,1,6726953,6701511,6579805,6622924,6554482,6606521,6603034,6580315,6658809,6550754,6650672,6590211,6504998,6615684,6588845,6517651,6558131,6513956,6536625,6415746
8,31,1,1,6713981,6688663,6567393,6610042,6542079,6594366,6589948,6567667,6645750,6537373,6637749,6577387,6492400,6603061,6576911,6504839,6544195,6501105,6523381,6402727
9,0,1,1,6727873,6701690,6579921,6623341,6555103,6607609,6603548,6581389,6659034,6550940,6651952,6590658,6505647,6616804,6590790,6518446,6558573,6514528,6537741,6415649
10,31,1,1,6715383,6689850,6567789,6611033,6542957,6595486,6591104,6567775,6646064,6537777,6639466,6577467,6492687,6603530,6577481,6505363,6544760,6501733,6524653,6402928
11,0,1,1,6727737,6702491,6580731,6623151,6555192,6608010,6603428,6580569,6659209,6551377,6652272,6590384,6505501,6615589,6590557,6518601,6558091,6514469,6537483,6415905
12,31,1,1,6715280,6689666,6568106,6610037,6542355,6594734,6591137,6568194,6646260,6539060,6638821,6577255,6492576,6601910,6577272,6505822,6545495,6501472,6524119,6403091
13,0,1,1,6726280,6701854,6579686,6621914,6554426,6607372,6603017,6580910,6658093,6551153,6651372,6589877,6504979,6614527,6589611,6517942,6558304,6514192,6537460,6415334
14,31,1,1,6714241,6689978,6567212,6608869,6542114,6594829,6590657,6568129,6645855,6538416,6639330,6577488,6493129,6602180,6577620,6504418,6544254,6501644,6524518,6403041
15,0,1,1,6727065,6702837,6579319,6621307,6554280,6607718,6602956,6580356,6658653,6551203,6651950,6590045,6505476,6614139,6589108,6517376,6557020,6514651,6537147,6415995
16,31,1,1,6714600,6690666,6567548,6610287,6542039,6594953,6590838,6567455,6645591,6538979,6638870,6577247,6492794,6602532,6576407,6504483,6545047,6501050,6523831,6403511
17,0,1,1,6726987,6702161,6579726,6622535,6554203,6606674,6602787,6579873,6658355,6550856,6650879,6589983,6504692,6614858,6589385,6517235,6557047,6513872,6536545,6415440
18,31,1,1,6714648,6690057,6568050,6611072,6542433,6594343,6590902,6567760,6646370,6539207,6638250,6578312,6493370,6603194,6577793,6505153,6544585,6501651,6524418,6403488
