rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,4095,74871,74459,73712,73691,74276,67917,66726,67240,66866,66698,75102,74460,73869,74361,74002,64434,63707,63873,64287,63768
1,0,0,4095,78483,78046,77222,77187,77838,70803,69600,70141,69739,69576,78749,78072,77499,77992,77586,67285,66554,66710,67132,66624
2,31,0,4095,74906,74495,73741,73713,74318,67940,66767,67238,66884,66742,75134,74484,73884,74402,74021,64458,63738,63881,64312,63805
3,0,0,4095,78452,78031,77203,77168,77824,70789,69594,70111,69712,69562,78721,78050,77484,77963,77549,67252,66519,66695,67135,66625
4,31,0,4095,74911,74485,73739,73708,74313,67926,66773,67237,66870,66724,75123,74473,73890,74396,74011,64449,63722,63879,64308,63806
5,0,0,4095,78481,78035,77218,77171,77851,70788,69609,70123,69727,69569,78750,78068,77507,77971,77567,67260,66521,66696,67135,66626
6,31,0,4095,74907,74480,73728,73691,74316,67911,66766,67226,66881,66715,75108,74459,73888,74378,74005,64434,63703,63866,64307,63785
7,0,0,4095,78453,78003,77180,77150,77826,70773,69593,70103,69713,69550,78711,78051,77482,77942,77528,67237,66496,66690,67122,66600
8,31,0,4095,74920,74501,73735,73721,74322,67935,66784,67241,66899,66733,75130,74490,73898,74402,74009,64448,63726,63892,64324,63799
9,0,0,4095,78473,78042,77195,77164,77832,70787,69613,70117,69730,69565,78738,78078,77494,77967,77553,67252,66521,66705,67149,66614
10,31,0,4095,74914,74514,73736,73715,74321,67940,66778,67240,66890,66733,75143,74494,73896,74399,74017,64449,63726,63893,64338,63803
11,0,0,4095,78482,78055,77216,77183,77851,70806,69615,70132,69744,69578,78748,78081,77513,77984,77565,67265,66530,66716,67153,66614
12,31,0,4095,74914,74507,73735,73712,74317,67930,66775,67237,66877,66727,75134,74486,73890,74392,74002,64449,63724,63891,64309,63784
13,0,0,4095,78478,78047,77204,77174,77835,70795,69611,70129,69721,69568,78737,78064,77507,77974,77546,67256,66517,66704,67145,66598
14,31,0,4095,74923,74515,73751,73732,74339,67958,66798,67266,66902,66756,75153,74507,73913,74417,74015,64457,63738,63903,64345,63806
15,0,0,4095,78473,78065,77220,77179,77845,70807,69629,70144,69740,69588,78744,78079,77508,77981,77560,67268,66527,66716,67149,66622
16,31,0,4095,74923,74537,73747,73724,74331,67960,66796,67258,66885,66753,75139,74495,73917,74414,74012,64462,63729,63914,64347,63804
17,0,0,4095,78468,78054,77195,77174,77835,70804,69615,70136,69732,69578,78726,78068,77514,77973,77553,67257,66524,66700,67150,66622
