experiment,name,pattern,key,correct,total,percentage
cpu,24,1010101001011010101010011010011001010110,diffs,18,20,90.0
cpu,24,1010101001011010101010011010011001010110,1,9,20,45.0
cpu,24,1010101001011010101010011010011001010110,0,10,20,50.0
gpu,1,1010101001011010101010011010011001010110,diffs,13,20,65.0
gpu,1,1010101001011010101010011010011001010110,31,11,20,55.0
gpu,1,1010101001011010101010011010011001010110,0,11,20,55.0
