rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,1,12,76716,76301,75479,75475,76136,69340,68199,68734,68289,68193,76987,76295,75728,76227,75828,65896,65141,65333,65754,65203
1,0,1,12,77308,76890,76078,76053,76736,69814,68685,69210,68758,68675,77591,76897,76328,76821,76404,66358,65602,65801,66221,65668
2,1,1,12,76734,76316,75506,75487,76166,69368,68231,68746,68316,68224,77012,76313,75746,76251,75839,65912,65156,65351,65765,65221
3,0,1,12,77319,76898,76067,76053,76733,69831,68693,69211,68776,68680,77585,76897,76337,76828,76415,66354,65606,65807,66225,65665
4,1,1,12,76743,76318,75503,75490,76157,69380,68233,68739,68318,68208,76992,76308,75745,76242,75831,65896,65155,65344,65760,65204
5,0,1,12,77319,76895,76060,76052,76733,69836,68693,69204,68777,68671,77572,76883,76329,76803,76411,66351,65598,65802,66216,65653
6,1,1,12,76761,76341,75517,75508,76177,69397,68255,68760,68341,68237,77021,76325,75767,76248,75854,65910,65168,65365,65786,65224
7,0,1,12,77327,76903,76075,76054,76735,69842,68698,69209,68785,68678,77594,76898,76331,76820,76414,66353,65615,65799,66238,65671
8,1,1,12,76752,76323,75522,75502,76160,69395,68247,68754,68330,68228,77019,76319,75762,76260,75850,65905,65167,65366,65806,65226
9,0,1,12,77322,76903,76075,76064,76731,69834,68693,69224,68790,68674,77601,76884,76336,76832,76413,66350,65602,65814,66256,65672
10,1,1,12,76727,76310,75511,75492,76167,69368,68236,68749,68325,68215,77017,76301,75746,76250,75839,65896,65150,65351,65790,65208
11,0,1,12,77312,76896,76086,76054,76750,69841,68705,69219,68794,68678,77603,76892,76341,76834,76413,66358,65606,65812,66250,65668
12,1,1,12,76756,76331,75519,75486,76175,69383,68254,68763,68341,68231,77031,76323,75760,76267,75846,65911,65164,65364,65800,65223
13,0,1,12,77323,76908,76075,76046,76748,69835,68703,69209,68792,68671,77603,76883,76341,76836,76419,66349,65609,65801,66244,65674
14,1,1,12,76743,76330,75509,75490,76176,69371,68245,68754,68330,68218,77013,76313,75755,76264,75848,65907,65165,65347,65790,65220
15,0,1,12,77306,76908,76063,76037,76720,69818,68692,69203,68782,68666,77574,76887,76327,76830,76404,66345,65603,65794,66228,65668
