rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,511,74877,74477,73686,73721,74291,67915,66745,67232,66857,66733,75113,74446,73881,74345,74011,64401,63716,63878,64297,63735
1,0,0,511,78452,78045,77178,77190,77827,70797,69597,70118,69724,69582,78736,78028,77486,77932,77569,67218,66507,66702,67125,66572
2,31,0,511,74911,74523,73728,73745,74328,67946,66783,67238,66896,66763,75147,74469,73905,74377,74051,64425,63721,63902,64320,63772
3,0,0,511,78479,78060,77198,77207,77852,70802,69620,70127,69744,69606,78768,78056,77521,77956,77595,67219,66521,66718,67132,66587
4,31,0,511,74909,74520,73734,73741,74328,67943,66789,67245,66888,66753,75139,74465,73913,74380,74043,64411,63705,63902,64319,63767
5,0,0,511,78445,78064,77168,77188,77826,70780,69607,70113,69734,69587,78749,78050,77504,77938,77574,67204,66503,66693,67128,66562
6,31,0,511,74905,74546,73713,73739,74327,67933,66794,67248,66905,66762,75148,74480,73907,74380,74044,64414,63728,63891,64326,63765
7,0,0,511,78458,78061,77173,77193,77834,70784,69620,70118,69745,69596,78752,78060,77517,77955,77583,67221,66520,66697,67148,66568
8,31,0,511,74910,74535,73715,73740,74321,67927,66794,67243,66906,66764,75142,74476,73908,74385,74046,64416,63719,63894,64335,63762
9,0,0,511,78469,78076,77179,77187,77845,70785,69618,70131,69741,69600,78747,78048,77499,77955,77584,67225,66518,66710,67145,66579
10,31,0,511,74919,74543,73720,73744,74334,67942,66792,67254,66915,66766,75144,74486,73900,74393,74045,64420,63723,63898,64326,63769
11,0,0,511,78464,78092,77202,77221,77863,70808,69634,70148,69767,69609,78760,78076,77514,77969,77599,67244,66532,66720,67165,66591
12,31,0,511,74924,74549,73731,73747,74344,67952,66804,67271,66921,66769,75159,74489,73913,74394,74056,64441,63732,63906,64339,63780
13,0,0,511,78501,78101,77204,77222,77873,70811,69645,70152,69771,69614,78782,78080,77534,77988,77613,67251,66548,66733,67166,66604
14,31,0,511,74918,74528,73730,73733,74332,67935,66803,67265,66909,66765,75137,74476,73894,74388,74045,64430,63732,63898,64334,63765
15,0,0,511,78473,78061,77177,77185,77838,70779,69616,70139,69740,69597,78743,78057,77501,77962,77582,67226,66517,66698,67151,66582
16,31,0,511,74947,74548,73726,73739,74344,67942,66809,67269,66908,66774,75142,74488,73914,74410,74052,64438,63734,63903,64352,63789
17,0,0,511,78494,78074,77189,77194,77858,70792,69631,70132,69733,69600,78744,78061,77509,77968,77590,67236,66515,66702,67156,66592
18,31,0,511,74938,74546,73741,73745,74351,67941,66802,67262,66891,66768,75148,74487,73905,74402,74052,64430,63729,63899,64348,63780
19,0,0,511,78491,78068,77198,77201,77854,70791,69630,70146,69739,69604,78744,78056,77502,77972,77597,67234,66532,66711,67161,66580
20,31,0,511,74954,74551,73749,73746,74354,67951,66813,67271,66916,66773,75148,74486,73919,74407,74049,64444,63739,63908,64349,63778
21,0,0,511,78489,78071,77194,77189,77845,70796,69623,70133,69743,69589,78751,78053,77501,77963,77569,67237,66518,66708,67157,66571
22,31,0,511,74947,74563,73737,73738,74351,67956,66814,67256,66926,66771,75160,74492,73921,74412,74049,64448,63743,63906,64345,63779
23,0,0,511,78503,78100,77214,77207,77864,70817,69650,70144,69768,69608,78784,78078,77540,77995,77599,67263,66539,66733,67172,66601
24,31,0,511,74937,74551,73741,73745,74353,67952,66813,67254,66919,66765,75159,74491,73929,74409,74040,64450,63731,63913,64358,63786
25,0,0,511,78494,78085,77197,77193,77866,70806,69627,70137,69759,69590,78757,78058,77529,77974,77580,67246,66524,66711,67159,66595
26,31,0,511,74927,74540,73722,73733,74344,67945,66789,67247,66903,66748,75146,74474,73920,74393,74030,64432,63716,63887,64332,63773
27,0,0,511,78491,78091,77207,77188,77867,70803,69630,70130,69753,69592,78755,78059,77534,77980,77584,67242,66539,66724,67170,66593
28,31,0,511,74944,74557,73747,73746,74355,67951,66808,67251,66916,66768,75152,74492,73929,74411,74047,64438,63750,63913,64361,63784
29,0,0,511,78471,78064,77188,77174,77843,70794,69612,70130,69747,69582,78723,78040,77518,77961,77570,67224,66528,66703,67150,66577
30,31,0,511,74945,74555,73740,73752,74354,67960,66809,67261,66928,66758,75136,74487,73930,74403,74042,64440,63745,63895,64345,63783
31,0,0,511,78499,78083,77209,77218,77875,70813,69636,70147,69761,69590,78752,78068,77532,77983,77597,67246,66544,66722,67177,66590
32,31,0,511,74924,74533,73731,73733,74338,67939,66793,67248,66919,66749,75125,74472,73908,74396,74038,64425,63735,63897,64348,63765
33,0,0,511,78500,78096,77222,77211,77878,70815,69643,70142,69779,69614,78770,78067,77544,77989,77603,67249,66549,66724,67179,66596
34,31,0,511,74939,74553,73735,73749,74351,67952,66806,67253,66921,66770,75156,74485,73931,74410,74042,64436,63737,63903,64350,63782
35,0,0,511,78495,78085,77195,77204,77867,70796,69629,70145,69760,69605,78761,78064,77535,77979,77592,67241,66534,66720,67160,66587
36,31,0,511,74943,74562,73724,73749,74349,67959,66800,67260,66921,66771,75157,74483,73928,74418,74045,64433,63743,63909,64353,63778
37,0,0,511,78503,78106,77205,77208,77872,70816,69634,70138,69768,69623,78769,78064,77534,77991,77595,67247,66537,66724,67172,66598
38,31,0,511,74951,74581,73755,73760,74377,67974,66818,67264,66931,66795,75169,74500,73945,74426,74065,64448,63756,63922,64372,63799
39,0,0,511,78487,78090,77201,77195,77863,70812,69624,70133,69747,69607,78746,78058,77527,77982,77586,67242,66531,66715,67165,66587
40,31,0,511,74949,74577,73750,73763,74370,67970,66817,67266,66928,66782,75159,74495,73940,74430,74053,64450,63746,63929,64365,63784
41,0,0,511,78491,78096,77200,77203,77873,70810,69639,70142,69760,69608,78750,78065,77538,77987,77586,67238,66528,66731,67163,66583
42,31,0,511,74909,74547,73736,73739,74349,67939,66793,67254,66900,66768,75139,74472,73921,74411,74030,64422,63720,63903,64342,63757
43,0,0,511,78490,78097,77215,77211,77880,70811,69630,70145,69762,69617,78760,78065,77540,77998,77591,67249,66530,66731,67177,66596
44,31,0,511,74926,74546,73746,73737,74349,67946,66801,67265,66920,66772,75146,74482,73930,74413,74056,64440,63744,63908,64355,63791
45,0,0,511,78501,78101,77219,77208,77889,70817,69648,70155,69775,69618,78767,78077,77542,78001,77616,67257,66546,66722,67183,66614
46,31,0,511,74916,74539,73729,73727,74343,67950,66804,67244,66909,66760,75137,74470,73918,74401,74042,64424,63725,63896,64337,63777
47,0,0,511,78490,78099,77213,77198,77881,70823,69651,70150,69748,69611,78767,78075,77539,77999,77610,67242,66534,66726,67182,66602
48,31,0,511,74932,74560,73745,73734,74361,67966,66811,67258,66914,66779,75148,74488,73940,74422,74060,64441,63740,63916,64350,63797
49,0,0,511,78485,78088,77213,77193,77865,70811,69646,70138,69759,69611,78746,78069,77537,77993,77602,67253,66546,66726,67171,66609
50,31,0,511,74931,74562,73748,73749,74352,67960,66813,67264,66912,66774,75154,74481,73946,74419,74058,64435,63750,63917,64350,63798
51,0,0,511,78496,78098,77232,77207,77881,70822,69657,70146,69774,69622,78777,78076,77557,78009,77616,67253,66548,66743,67180,66625
52,31,0,511,74925,74558,73751,73734,74353,67953,66811,67253,66914,66767,75147,74481,73938,74412,74053,64436,63733,63918,64347,63789
53,0,0,511,78479,78082,77213,77188,77859,70801,69631,70126,69757,69596,78744,78050,77533,77973,77597,67239,66530,66719,67159,66594
54,31,0,511,74938,74553,73752,73733,74360,67958,66814,67260,66919,66774,75154,74480,73944,74412,74063,64446,63742,63916,64356,63799
55,0,0,511,78498,78095,77217,77196,77883,70815,69645,70144,69770,69609,78766,78072,77559,78000,77606,67254,66546,66735,67180,66617
56,31,0,511,74926,74546,73740,73734,74348,67952,66807,67256,66902,66755,75141,74477,73933,74405,74055,64440,63738,63911,64346,63802
57,0,0,511,78490,78086,77222,77196,77875,70825,69638,70148,69762,69601,78760,78068,77541,77982,77601,67259,66547,66742,67169,66615
58,31,0,511,74934,74556,73761,73742,74361,67963,66809,67259,66925,66770,75160,74490,73940,74423,74053,64455,63757,63931,64353,63801
59,0,0,511,78496,78097,77227,77208,77886,70813,69643,70150,69766,69614,78762,78070,77566,78008,77621,67265,66562,66755,67190,66631
60,31,0,511,74929,74551,73755,73749,74358,67958,66814,67266,66920,66766,75150,74475,73958,74430,74056,64452,63757,63931,64367,63811
61,0,0,511,78508,78099,77220,77212,77888,70821,69653,70158,69774,69609,78765,78071,77573,78005,77606,67261,66559,66748,67182,66621
62,31,0,511,74929,74551,73741,73738,74342,67945,66804,67262,66901,66767,75152,74473,73934,74418,74049,64435,63745,63913,64344,63790
63,0,0,511,78494,78099,77210,77201,77874,70817,69635,70145,69750,69602,78757,78063,77541,78002,77600,67239,66549,66733,67170,66607
64,31,0,511,74926,74546,73735,73742,74346,67946,66799,67255,66906,66766,75144,74468,73928,74419,74042,64432,63738,63914,64354,63788
65,0,0,511,78507,78107,77222,77211,77889,70822,69662,70157,69764,69624,78773,78076,77560,78014,77618,67256,66565,66741,67190,66634
66,31,0,511,74939,74547,73739,73745,74357,67953,66805,67261,66900,66761,75144,74478,73935,74425,74047,64443,63740,63917,64354,63797
67,0,0,511,78504,78086,77211,77201,77869,70816,69644,70152,69740,69604,78747,78064,77542,78000,77593,67240,66550,66733,67173,66616
68,31,0,511,74948,74543,73746,73738,74352,67956,66808,67257,66902,66765,75130,74483,73943,74430,74050,64427,63740,63917,64339,63802
69,0,0,511,78507,78093,77208,77199,77883,70813,69638,70145,69752,69606,78747,78070,77564,78008,77606,67241,66545,66734,67168,66609
70,31,0,511,74942,74549,73741,73741,74353,67954,66807,67260,66910,66762,75134,74479,73945,74422,74055,64428,63752,63922,64349,63795
