rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,1,1,24,76732,76348,75515,75496,76180,69403,68223,68762,68341,68165,77037,76310,75804,76267,75872,65892,65168,65356,65775,65254
1,0,1,24,77342,76937,76092,76078,76769,69871,68705,69233,68814,68644,77646,76921,76404,76867,76450,66357,65634,65815,66253,65728
2,1,1,24,76731,76353,75520,75493,76175,69393,68228,68764,68341,68173,77040,76314,75795,76273,75860,65880,65171,65339,65800,65267
3,0,1,24,77340,76945,76104,76069,76763,69863,68710,69250,68807,68657,77628,76918,76393,76875,76447,66348,65635,65818,66282,65730
4,1,1,24,76753,76360,75527,75501,76186,69397,68243,68779,68346,68201,77038,76338,75803,76289,75863,65877,65179,65365,65817,65267
5,0,1,24,77312,76924,76069,76049,76742,69849,68684,69228,68786,68649,77606,76899,76376,76845,76421,66307,65613,65796,66246,65694
6,1,1,24,76746,76368,75531,75499,76186,69405,68254,68777,68350,68209,77050,76348,75815,76293,75871,65877,65186,65365,65814,65268
7,0,1,24,77323,76938,76101,76069,76761,69853,68712,69243,68812,68659,77623,76917,76391,76863,76445,66338,65641,65815,66266,65728
8,1,1,24,76760,76362,75541,75505,76203,69404,68260,68783,68361,68210,77047,76345,75822,76282,75871,65887,65184,65365,65805,65278
9,0,1,24,77333,76929,76105,76057,76765,69860,68708,69250,68803,68657,77618,76907,76390,76860,76435,66340,65630,65817,66256,65730
10,1,1,24,76763,76359,75546,75499,76210,69414,68258,68800,68344,68208,77059,76345,75827,76292,75881,65902,65188,65367,65821,65285
11,0,1,24,77344,76949,76114,76068,76791,69874,68718,69257,68798,68665,77644,76923,76396,76869,76447,66352,65644,65824,66268,65740
12,1,1,24,76758,76361,75535,75506,76199,69414,68247,68784,68343,68200,77047,76340,75808,76285,75871,65892,65192,65368,65807,65280
13,0,1,24,77338,76942,76087,76072,76777,69852,68701,69243,68802,68658,77614,76908,76386,76854,76438,66333,65629,65815,66256,65734
14,1,1,24,76788,76379,75542,75529,76228,69414,68268,68804,68365,68219,77058,76357,75828,76307,75883,65910,65204,65385,65828,65309
15,0,1,24,77357,76938,76097,76087,76790,69865,68710,69261,68817,68669,77623,76915,76404,76874,76442,66345,65654,65819,66267,65744
16,1,1,24,76766,76355,75527,75521,76213,69401,68253,68793,68357,68209,77041,76328,75813,76281,75872,65892,65200,65368,65808,65277
17,0,1,24,77339,76932,76084,76072,76778,69860,68712,69251,68815,68673,77618,76899,76384,76854,76438,66342,65632,65800,66256,65727
18,1,1,24,76769,76367,75522,75517,76207,69390,68249,68794,68354,68223,77035,76329,75813,76276,75870,65895,65181,65359,65801,65280
19,0,1,24,77351,76950,76092,76066,76780,69861,68719,69264,68810,68674,77622,76913,76390,76857,76444,66345,65636,65813,66257,65736
20,1,1,24,76767,76359,75524,75495,76204,69395,68257,68792,68361,68210,77037,76331,75807,76271,75872,65886,65186,65349,65794,65287
21,0,1,24,77340,76937,76084,76062,76770,69863,68711,69257,68814,68666,77618,76909,76388,76849,76445,66342,65639,65804,66253,65741
22,1,1,24,76762,76359,75519,75499,76206,69396,68259,68790,68361,68212,77054,76325,75812,76280,75882,65896,65189,65352,65787,65288
23,0,1,24,77351,76931,76087,76057,76773,69865,68712,69260,68811,68670,77635,76901,76400,76857,76450,66346,65632,65808,66257,65740
24,1,1,24,76771,76356,75530,75500,76206,69407,68261,68802,68359,68226,77052,76329,75819,76282,75868,65900,65196,65365,65813,65292
25,0,1,24,77351,76949,76105,76082,76792,69872,68735,69272,68826,68688,77637,76917,76410,76873,76454,66357,65649,65829,66266,65760
26,1,1,24,76774,76377,75542,75518,76216,69419,68275,68804,68367,68220,77061,76335,75833,76303,75882,65910,65193,65364,65824,65308
27,0,1,24,77353,76954,76109,76082,76785,69882,68735,69274,68824,68685,77635,76914,76413,76884,76450,66367,65650,65822,66290,65760
28,1,1,24,76779,76388,75543,75525,76220,69423,68288,68818,68371,68232,77062,76347,75827,76309,75888,65916,65208,65373,65839,65309
29,0,1,24,77353,76947,76098,76072,76781,69869,68728,69267,68814,68678,77615,76913,76393,76866,76431,66347,65637,65806,66273,65740
