rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6716801,6691887,6572634,6613367,6545326,6600317,6593105,6569023,6649802,6542576,6638469,6580096,6494817,6609186,6579151,6506993,6546595,6505723,6526043,6406968
1,0,0,0,6729102,6704079,6585377,6628007,6557628,6613112,6606031,6580623,6662872,6555152,6651853,6593550,6508032,6622276,6592228,6521112,6559402,6518710,6539423,6419923
2,31,0,0,6716162,6691090,6572458,6615480,6545189,6600147,6592829,6568077,6650644,6542699,6638597,6580351,6495753,6609065,6578770,6507195,6545616,6505773,6526366,6406846
3,0,0,0,6729170,6703460,6584368,6627266,6557152,6612797,6605419,6581004,6663498,6555095,6651855,6593046,6507754,6622206,6592237,6519943,6558731,6518123,6539474,6419305
4,31,0,0,6717360,6691203,6572499,6614734,6544848,6600386,6593580,6568154,6651147,6543133,6638910,6580673,6494925,6608979,6580134,6507105,6545798,6505976,6527127,6407193
5,0,0,0,6730022,6703391,6584905,6627675,6556795,6612261,6606069,6580664,6663881,6556239,6651990,6593255,6507261,6621915,6591944,6520523,6559802,6519082,6539738,6419270
6,31,0,0,6718186,6691148,6572405,6615271,6544976,6599248,6593978,6567923,6651195,6543652,6639162,6580812,6495200,6610354,6579345,6507815,6546883,6505903,6527200,6406788
7,0,0,0,6729452,6704177,6585074,6626818,6556939,6611735,6605817,6581060,6663383,6556493,6652607,6593416,6507443,6621926,6591785,6520757,6559432,6519022,6540015,6419840
8,31,0,0,6717305,6693382,6573723,6615221,6545087,6599295,6593755,6568800,6651379,6543420,6639115,6580855,6495415,6609159,6579445,6508134,6546222,6506257,6527544,6407070
9,0,0,0,6728938,6704764,6584351,6627073,6555967,6611541,6605131,6580084,6662984,6554774,6651682,6593214,6506820,6620178,6590567,6520319,6558384,6518425,6539404,6418780
