rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
357,0,1,1,6734618,6705540,6585603,6626704,6561941,6611934,6609576,6584992,6666916,6559773,6656127,6596035,6511364,6624140,6595674,6527033,6565916,6520326,6543733,6422143
358,31,1,1,6723082,6693977,6574105,6614924,6549122,6599689,6597402,6572181,6654270,6547067,6643605,6583027,6498343,6611769,6582675,6514145,6552859,6506902,6530801,6409442
359,0,1,1,6735409,6706422,6586092,6627806,6561973,6612051,6610259,6585204,6667027,6559767,6656925,6595900,6511453,6623315,6596033,6527834,6566407,6519976,6544994,6421842
360,31,1,1,6723011,6693441,6573639,6614709,6548902,6599828,6597813,6572704,6654068,6546837,6643287,6582979,6498785,6611114,6582080,6514347,6553005,6506274,6531317,6408849
361,0,1,1,6735514,6706074,6586025,6628029,6561431,6612692,6610132,6585663,6666979,6560274,6656550,6596347,6511442,6623909,6596034,6527793,6566730,6519606,6544464,6421916
362,31,1,1,6722787,6693809,6573468,6614864,6549886,6600588,6598104,6573192,6654425,6548575,6643846,6583598,6498322,6611867,6583384,6515033,6553365,6507299,6531722,6409249
363,0,1,1,6734348,6705967,6585664,6627456,6562206,6612554,6610061,6584787,6666469,6560686,6655760,6595552,6510192,6623717,6595597,6527903,6565791,6519179,6544460,6421548
364,31,1,1,6722097,6693403,6572899,6615354,6549881,6600055,6596839,6572495,6653746,6546774,6642956,6582864,6497429,6610338,6583655,6514223,6552581,6506518,6530023,6408499
365,0,1,1,6734345,6705839,6585490,6627762,6562500,6612142,6609149,6584331,6666664,6559711,6655459,6595535,6509593,6623413,6595686,6527254,6565094,6520356,6543237,6420851
366,31,1,1,6722357,6694013,6573661,6615775,6550059,6599643,6597405,6572806,6654097,6546790,6643115,6583473,6498385,6611122,6583496,6514502,6552370,6507838,6530555,6409433
