rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,0,0,6711468,6684514,6567564,6609380,6541213,6594295,6586284,6564219,6644305,6541720,6635665,6576401,6491549,6602677,6575115,6505727,6545654,6502593,6522343,6402654
1,0,0,0,6724515,6696772,6580329,6622792,6554475,6607740,6598640,6576689,6657419,6554365,6648451,6589496,6504470,6615687,6588133,6519058,6559929,6515710,6535407,6415192
2,31,0,0,6711472,6683811,6567434,6609668,6541716,6594590,6584843,6564464,6643694,6540775,6635364,6576647,6491867,6603374,6575145,6506261,6546221,6501881,6521339,6401650
3,0,0,0,6724467,6696712,6580083,6623037,6554668,6607321,6598754,6577411,6657416,6554413,6649505,6589335,6504811,6616435,6588497,6520149,6560063,6515268,6535656,6415485
4,31,0,0,6712346,6684816,6567777,6610933,6543139,6594757,6586469,6564561,6644882,6542099,6636944,6577518,6493108,6604022,6576147,6506724,6546421,6503263,6522888,6403298
5,0,0,0,6725139,6697751,6580267,6623779,6555646,6607516,6598877,6577102,6657454,6554666,6649807,6590129,6505983,6616653,6589133,6519599,6559886,6516004,6535400,6415687
6,31,0,0,6711783,6684542,6566942,6610033,6543183,6594379,6586118,6563895,6644611,6540845,6635803,6577173,6491922,6602377,6575200,6505643,6545650,6502247,6521977,6402510
7,0,0,0,6724027,6697587,6579467,6622985,6556008,6607445,6599226,6577109,6658012,6554637,6649165,6590175,6504585,6615987,6588700,6519835,6559322,6515792,6535969,6416132
8,31,0,0,6711577,6685169,6566749,6609893,6542798,6594144,6586305,6564833,6645188,6541830,6635629,6577060,6492080,6602750,6575200,6506786,6545439,6502471,6522514,6403689
9,0,0,0,6724381,6697949,6579404,6623426,6555266,6607507,6600170,6577594,6658936,6554809,6649864,6590560,6505548,6616773,6589628,6520879,6559251,6516167,6536228,6416425
10,31,0,0,6710672,6684424,6566865,6610271,6542547,6594719,6587793,6564338,6645564,6540469,6636050,6577472,6492626,6603356,6576663,6507163,6545921,6502495,6523995,6402898
11,0,0,0,6724367,6697534,6579532,6623310,6555751,6608065,6599991,6578315,6658457,6554490,6649910,6591289,6505523,6616725,6589419,6520734,6559955,6515413,6536834,6416437
12,31,0,0,6712198,6684813,6567312,6610768,6543295,6595324,6587295,6565860,6645424,6541282,6637571,6578585,6492725,6603939,6577239,6507615,6546796,6501891,6523869,6403616
13,0,0,0,6724252,6696182,6579374,6622407,6554150,6606719,6599320,6577191,6657656,6553493,6648923,6590731,6504326,6615617,6589154,6519980,6559709,6514245,6536452,6414918
14,31,0,0,6711775,6684322,6567574,6610017,6541855,6593925,6587277,6565343,6645493,6541350,6635810,6577992,6492069,6603414,6576721,6507642,6546259,6501701,6523402,6403456
15,0,0,0,6722970,6696228,6578832,6622024,6553298,6605507,6598534,6576576,6657347,6553550,6647866,6589511,6503775,6615829,6588630,6519367,6558125,6514702,6535971,6415473
16,31,0,0,6711767,6684794,6566820,6610001,6541710,6594064,6586881,6564256,6645556,6540537,6635512,6577370,6492107,6604212,6575483,6506677,6544934,6502270,6522792,6403413
17,0,0,0,6724065,6697818,6579105,6622475,6554593,6606623,6599767,6576715,6659066,6554034,6649333,6590719,6505090,6617273,6588413,6520294,6558217,6515484,6536622,6417205
18,31,0,0,6712237,6685237,6567259,6610767,6542827,6594283,6587773,6564841,6646379,6541903,6636800,6578187,6492571,6604309,6575919,6506932,6545001,6502754,6523795,6404096
19,0,0,0,6724021,6697919,6579308,6622687,6554647,6606373,6600047,6577324,6659104,6554490,6649533,6590332,6504869,6616717,6589437,6519973,6558580,6515481,6536397,6416708
20,31,0,0,6711756,6685497,6567087,6610518,6541941,6593376,6587335,6565045,6646401,6541770,6636420,6578448,6492356,6604957,6576404,6506473,6545265,6502543,6523638,6403775
21,0,0,0,6723742,6697499,6578261,6622474,6554111,6605046,6598487,6576621,6658115,6553800,6648527,6590144,6503924,6616118,6588058,6518956,6557983,6514543,6535806,6415632
22,31,0,0,6711996,6685074,6566981,6610534,6542278,6593093,6587503,6564335,6646166,6541876,6635797,6578038,6491703,6603689,6575900,6506724,6545183,6502245,6523366,6403395
23,0,0,0,6724669,6697208,6579232,6622816,6554461,6605829,6599779,6577244,6658685,6554403,6648589,6591281,6503830,6616700,6588380,6519606,6558636,6515406,6535914,6415997
