rep,heat_enabled,transmitter_bit_orig,transmitter_bit_pred,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
449,0,1,1,6722717,6698566,6577731,6620948,6555511,6605246,6600024,6577112,6658197,6554480,6649285,6588949,6504950,6615047,6586484,6516713,6558337,6515538,6535540,6415964
450,31,1,1,6710550,6686601,6564994,6608951,6543500,6592997,6587578,6564733,6645680,6542054,6636980,6576513,6492382,6601906,6574288,6503960,6544621,6502634,6522413,6403078
451,0,1,1,6722870,6698668,6577161,6621343,6555936,6604775,6599803,6577678,6658257,6554793,6650459,6589066,6505029,6615138,6586928,6516997,6557690,6514624,6535714,6415782
452,31,1,1,6710195,6686000,6564556,6608929,6542837,6591985,6586830,6564431,6645025,6541810,6636296,6575670,6491974,6601491,6573783,6503804,6544670,6501220,6522319,6402589
453,0,1,1,6723028,6699745,6577664,6623013,6556077,6605852,6600103,6577687,6658441,6555955,6649739,6589613,6505605,6615199,6587598,6517854,6558365,6515729,6535874,6416334
454,31,1,1,6710169,6686740,6565405,6610225,6543390,6592991,6587045,6564603,6645277,6541447,6636447,6576975,6492771,6602963,6574414,6504645,6545475,6502882,6522802,6403743
455,0,1,1,6722773,6699396,6578290,6622563,6555825,6605081,6600362,6577268,6658534,6554739,6649790,6589566,6505471,6615863,6587003,6517313,6558659,6515495,6536469,6416499
456,31,1,1,6710098,6686102,6565228,6609902,6543438,6592159,6586753,6563943,6644801,6541427,6635387,6575795,6492246,6601704,6572660,6503139,6544105,6501323,6522865,6402550
457,0,1,1,6722304,6698389,6577000,6622022,6555268,6604215,6599101,6576775,6657209,6554075,6648975,6588420,6504262,6614916,6584583,6516431,6557760,6515165,6535565,6415771
458,31,1,1,6710787,6687103,6565532,6610396,6543633,6592465,6588174,6564996,6645410,6542310,6637288,6576806,6492683,6603157,6573800,6504244,6545353,6502747,6522732,6404001
459,0,1,1,6722646,6698987,6577823,6623041,6555988,6605265,6600357,6577764,6658230,6554443,6650222,6589336,6504923,6615187,6586322,6516995,6558428,6515293,6535758,6416127
460,31,1,1,6709799,6686422,6564343,6609232,6542726,6591510,6587015,6564629,6644927,6540590,6636235,6575656,6492229,6601793,6572199,6503164,6544748,6501597,6522430,6402802
461,0,1,1,6722562,6698874,6577081,6622184,6556276,6604332,6600137,6577715,6658134,6554325,6650065,6588873,6505446,6615241,6585356,6516094,6558881,6515123,6536206,6416493
462,31,1,1,6710920,6686532,6565733,6609704,6544263,6592293,6588556,6566128,6646232,6541898,6637631,6576276,6493427,6603055,6573048,6503824,6544974,6502564,6523676,6404147
463,0,1,1,6722614,6697952,6576862,6621321,6555129,6603688,6599270,6577596,6658015,6553644,6650029,6588327,6504425,6613915,6585715,6515879,6556972,6514469,6535429,6415826
464,31,1,1,6710702,6686246,6565043,6609005,6542855,6591443,6586996,6565389,6645815,6541385,6636872,6576250,6491993,6602760,6572858,6503552,6545465,6502083,6522811,6403588
465,0,1,1,6722940,6699184,6577845,6621866,6555558,6603907,6599257,6578619,6658390,6553829,6649980,6589143,6504574,6615393,6586136,6516866,6559208,6515524,6536105,6416410
466,31,1,1,6709860,6686546,6565181,6609261,6542879,6591835,6586546,6565062,6645759,6540337,6636963,6576336,6492047,6601854,6573611,6503426,6544296,6501591,6523210,6403422
467,0,1,1,6723119,6699189,6578086,6621855,6555158,6604591,6600249,6578259,6658852,6553491,6650594,6589231,6505145,6616139,6586808,6516750,6558845,6515209,6536711,6416439
468,31,1,1,6710452,6686401,6564648,6608803,6542293,6591854,6587135,6565115,6646042,6540641,6637289,6576070,6491598,6602584,6574269,6503985,6545038,6501827,6522856,6403349
469,0,1,1,6723444,6699177,6577053,6621135,6554558,6605077,6599868,6578560,6658261,6553478,6649944,6588910,6503954,6615608,6586664,6516995,6558070,6514883,6535290,6416025
470,31,1,1,6710312,6686119,6564545,6608698,6542149,6592616,6586537,6565730,6645967,6540348,6637109,6575971,6491331,6602684,6574118,6504001,6544982,6501838,6521734,6402571
471,0,1,1,6722369,6697794,6577022,6621310,6553944,6604537,6598564,6577683,6658197,6552550,6649312,6587957,6503294,6615126,6586902,6516360,6557474,6514152,6534941,6414863
472,31,1,1,6710241,6686812,6565330,6609600,6542444,6591589,6586041,6566038,6646010,6540320,6636873,6575565,6491450,6602554,6574746,6503553,6544905,6501971,6523258,6402451
473,0,1,1,6722290,6699898,6577074,6622614,6554767,6603962,6598761,6578840,6658440,6553440,6650090,6588226,6504086,6614752,6586685,6516711,6557666,6514903,6535682,6414618
474,31,1,1,6710529,6687366,6565011,6610040,6542774,6591491,6586798,6566608,6645533,6540645,6637585,6575897,6492285,6601763,6573832,6503883,6545450,6502153,6522770,6402499
475,0,1,1,6722177,6698458,6576789,6620527,6554949,6603096,6598052,6577919,6657620,6552775,6649352,6587871,6504177,6613703,6585685,6515850,6557670,6514218,6534880,6414921
476,31,1,1,6710715,6686322,6565128,6609230,6542876,6591819,6586250,6565885,6645007,6540640,6637221,6575974,6491445,6602148,6573700,6503437,6545206,6501828,6522087,6403438
477,0,1,1,6724029,6698988,6577664,6621592,6555782,6604826,6599209,6578682,6657883,6553884,6651087,6589232,6504132,6615352,6587064,6516976,6558789,6514992,6535773,6416502
478,31,1,1,6710918,6685836,6564716,6608246,6542585,6591100,6586209,6564793,6644557,6539766,6636883,6575428,6490353,6601595,6573745,6502925,6543936,6501105,6522147,6402732
479,0,1,1,6723228,6698327,6577206,6621107,6554417,6604077,6599440,6577800,6657709,6552760,6650338,6588861,6504154,6614225,6587187,6516209,6557980,6514733,6535371,6416004
480,31,1,1,6711634,6686996,6565264,6608761,6543067,6591767,6586908,6565760,6645499,6540657,6637661,6577175,6492118,6602517,6574166,6503121,6545569,6502496,6522792,6403688
481,0,1,1,6724223,6699620,6577460,6621312,6555105,6604939,6599514,6578870,6658481,6552911,6650743,6589764,6504210,6615125,6586960,6516978,6558481,6515817,6535583,6416014
482,31,1,1,6711114,6686617,6564089,6608872,6542276,6592380,6586205,6565727,6645752,6539880,6637606,6576506,6490862,6601259,6574307,6503577,6545146,6501619,6522264,6403611
483,0,1,1,6723142,6698875,6577573,6621215,6554371,6605109,6599132,6578662,6658493,6552935,6650161,6589651,6503871,6614605,6587317,6516334,6558410,6515287,6535608,6415998
484,31,1,1,6711342,6686864,6566158,6609489,6543426,6593451,6587129,6566746,6646291,6541398,6638506,6577666,6492244,6602963,6575360,6504077,6546263,6502803,6523863,6404169
485,0,1,1,6724370,6699452,6578700,6621776,6556096,6605961,6600164,6579084,6659246,6554086,6651390,6590478,6505177,6616047,6588033,6517246,6559689,6515807,6537277,6417144
486,31,1,1,6711715,6686775,6565864,6609819,6543407,6592774,6587242,6566316,6645672,6541484,6636766,6576821,6492689,6603908,6575071,6504228,6545792,6502447,6523758,6404315
487,0,1,1,6723690,6698420,6577718,6622125,6555628,6605196,6598981,6578156,6658168,6553405,6649630,6589734,6504816,6615498,6587824,6516996,6558522,6514538,6535883,6416804
488,31,1,1,6711064,6686659,6565779,6609713,6543192,6592574,6586705,6565472,6646087,6540842,6637694,6577482,6492657,6602626,6575331,6504454,6546238,6502131,6523001,6403811
489,0,1,1,6724509,6699105,6578926,6622962,6555985,6605738,6599873,6579002,6659426,6554955,6651543,6591227,6506164,6616226,6587928,6517905,6559683,6516290,6536630,6416689
490,31,1,1,6711674,6686075,6566446,6610042,6542948,6592773,6586922,6566095,6646163,6541043,6638005,6577078,6492466,6602278,6575000,6504285,6545689,6502656,6523356,6403621
491,0,1,1,6724804,6699277,6579018,6623284,6555864,6605541,6599552,6579011,6659258,6554615,6651362,6590546,6505341,6615255,6588551,6518028,6559909,6515785,6536932,6416805
492,31,1,1,6712282,6686506,6566791,6609740,6543241,6592730,6587150,6566072,6646054,6541457,6638044,6577457,6492749,6602528,6575859,6504662,6546541,6502525,6523981,6404623
493,0,1,1,6723986,6698438,6578364,6622031,6555249,6604640,6599784,6577889,6659067,6553997,6650546,6589714,6504224,6614438,6588532,6516744,6559512,6514727,6535829,6416550
494,31,1,1,6710869,6685168,6565362,6608032,6543104,6591571,6586470,6564582,6645671,6540474,6637155,6577159,6491389,6601139,6574358,6502875,6545729,6501952,6522494,6403295
495,0,1,1,6724342,6697769,6577391,6620941,6554651,6604488,6599732,6578035,6658973,6553613,6650497,6590088,6504384,6614406,6587846,6516898,6559200,6514864,6535644,6417164
496,31,1,1,6711733,6685546,6565777,6608480,6542107,6591931,6586920,6565767,6645490,6540102,6637383,6576799,6491566,6601882,6574324,6503642,6545892,6502094,6522126,6403527
497,0,1,1,6723248,6697644,6577467,6621388,6554730,6604453,6599453,6578021,6657367,6552598,6649660,6589065,6503639,6614696,6586531,6516294,6557943,6514842,6535564,6415684
498,31,1,1,6710906,6685664,6565595,6609724,6543097,6592461,6587039,6566254,6645404,6540265,6637752,6576658,6491615,6602164,6574997,6503417,6545268,6502709,6522606,6403709
499,0,1,1,6723954,6698992,6578053,6622689,6555564,6604780,6600091,6579051,6658581,6553832,6650835,6589422,6503877,6614422,6588720,6516872,6559196,6516054,6536046,6417018
