rep,heat_enabled,transmitter_bit,transmitter_mask,ctrl_0_ro_0,ctrl_0_ro_1,ctrl_0_ro_2,ctrl_0_ro_3,ctrl_0_ro_4,ctrl_1_ro_0,ctrl_1_ro_1,ctrl_1_ro_2,ctrl_1_ro_3,ctrl_1_ro_4,ctrl_2_ro_0,ctrl_2_ro_1,ctrl_2_ro_2,ctrl_2_ro_3,ctrl_2_ro_4,ctrl_3_ro_0,ctrl_3_ro_1,ctrl_3_ro_2,ctrl_3_ro_3,ctrl_3_ro_4
0,31,1,511,6719755,6695221,6574170,6612787,6548030,6599036,6595839,6569512,6652227,6544952,6641863,6581650,6498746,6612041,6581520,6509806,6549463,6507954,6529903,6410027
1,0,1,511,6733004,6708790,6587414,6627140,6561697,6613183,6609364,6582667,6666372,6557569,6656100,6595301,6511969,6624833,6594489,6524700,6563922,6521558,6543352,6423349
2,31,1,511,6720057,6696614,6574404,6615056,6548757,6600321,6596036,6570158,6653699,6545089,6643150,6582705,6499065,6612468,6582063,6511778,6551477,6508905,6530199,6410450
3,0,1,511,6732515,6709173,6586356,6628183,6561516,6611909,6608463,6583219,6666268,6557527,6655716,6595796,6511979,6624130,6594695,6525209,6564801,6521706,6543355,6422817
4,31,1,511,6720272,6696232,6574148,6615960,6549671,6599303,6596225,6570939,6653623,6545165,6642276,6583346,6499396,6612051,6581984,6512222,6552148,6508464,6531102,6410111
5,0,1,511,6731655,6707597,6584857,6626795,6561060,6610788,6607134,6581994,6664962,6556810,6654224,6594352,6510702,6623135,6593980,6524296,6563660,6520501,6542683,6421013
6,31,1,511,6721179,6696833,6574542,6616640,6550376,6600037,6596734,6570990,6654110,6545585,6643280,6582690,6499656,6612330,6581908,6512635,6552241,6509571,6530950,6410173
7,0,1,511,6733332,6709106,6586171,6629518,6562292,6611961,6609610,6583228,6666072,6557923,6654934,6595424,6512214,6624291,6594046,6525474,6565258,6521783,6543163,6423173
8,31,1,511,6720824,6696784,6573679,6617000,6549844,6599308,6597372,6570585,6652729,6545306,6641906,6582915,6499356,6612276,6581559,6511915,6551670,6508221,6530698,6409303
9,0,1,511,6733571,6710069,6586896,6629916,6562468,6612522,6610208,6583743,6666074,6558210,6654740,6595944,6512659,6625555,6594930,6525069,6565454,6522215,6544368,6423078
10,31,1,511,6720408,6696377,6574296,6616729,6549263,6599405,6597365,6570890,6653073,6544540,6641653,6582399,6499054,6612396,6581567,6511689,6551956,6509063,6531164,6409739
11,0,1,511,6732554,6708878,6586018,6628819,6561879,6611688,6608712,6583064,6665737,6556770,6654768,6595766,6511530,6624581,6594711,6524943,6565028,6521678,6543903,6422727
12,31,1,511,6720805,6696600,6573725,6616031,6549787,6599344,6596465,6571166,6653241,6543733,6641797,6582800,6498939,6611944,6582004,6512025,6551576,6508646,6530653,6410618
13,0,1,511,6733025,6708555,6586042,6628292,6561646,6611151,6608905,6583157,6665688,6556789,6654643,6595433,6511376,6624389,6594410,6524545,6564859,6520888,6543147,6423411
14,31,1,511,6721476,6696436,6574321,6616662,6549816,6599531,6597057,6570885,6653461,6544205,6643060,6582909,6499611,6612097,6582420,6512152,6552187,6508521,6530445,6410814
15,0,1,511,6733619,6708239,6586260,6627984,6561884,6611515,6609320,6582708,6666143,6556860,6656252,6595717,6511860,6624137,6594761,6524721,6563831,6520831,6543540,6423620
16,31,1,511,6720536,6695831,6573883,6615086,6549176,6598541,6596859,6570518,6653467,6543813,6642767,6582900,6499203,6611839,6582155,6512170,6550710,6508250,6530410,6410849
17,0,1,511,6733052,6707991,6585625,6627235,6561921,6611013,6608942,6582417,6665696,6556242,6655413,6595352,6511571,6624101,6593580,6525347,6564267,6521433,6543193,6423633
18,31,1,511,6721848,6696269,6574410,6615915,6550466,6600139,6597112,6570382,6653781,6544194,6643624,6584079,6499530,6612294,6581884,6512268,6552015,6509414,6530516,6411422
19,0,1,511,6733046,6707922,6585487,6626998,6561290,6611409,6609112,6581889,6665243,6555982,6655087,6595403,6511190,6623881,6593414,6524294,6563821,6521492,6542823,6422816
20,31,1,511,6719492,6694163,6571698,6614163,6548464,6597861,6595248,6568412,6651655,6542791,6640969,6581327,6497678,6610723,6580315,6511141,6550086,6507708,6529076,6409068
21,0,1,511,6732978,6707280,6584918,6627550,6561538,6611058,6607860,6581891,6664716,6556574,6654335,6594556,6511038,6624215,6592958,6524504,6563886,6521334,6542015,6422878
22,31,1,511,6720446,6694283,6572647,6615206,6548780,6598665,6595996,6569037,6652279,6543829,6641460,6581965,6498567,6611243,6580177,6511509,6550508,6508003,6529087,6410363
23,0,1,511,6732900,6706948,6585206,6627842,6561637,6611201,6608215,6582149,6664683,6556414,6654431,6595347,6511575,6624477,6593656,6524513,6564312,6521633,6542673,6423648
24,31,1,511,6720838,6694628,6573397,6615540,6550182,6599781,6596189,6569870,6652281,6544584,6641326,6582689,6499145,6612238,6581669,6511299,6551017,6508846,6530603,6410952
25,0,1,511,6732565,6706080,6584827,6627104,6560756,6611057,6608345,6582082,6664403,6555865,6653998,6594367,6509697,6624186,6592787,6523739,6563154,6521372,6542579,6422416
26,31,1,511,6720345,6694287,6572413,6614808,6548967,6598612,6595733,6569173,6651633,6543674,6640962,6582061,6498037,6611569,6580752,6510495,6549564,6508098,6530156,6409709
27,0,1,511,6733030,6708116,6584833,6627722,6561347,6611253,6608647,6582379,6664862,6557451,6653808,6595354,6511567,6625160,6593903,6523438,6563207,6521467,6543849,6423402
28,31,1,511,6720837,6695593,6572257,6615053,6548937,6598498,6596045,6570026,6651950,6544268,6641216,6582711,6499011,6611627,6581554,6510494,6549699,6508065,6530576,6411390
29,0,1,511,6733053,6708080,6584838,6627701,6562132,6611092,6608988,6582638,6664849,6556564,6654509,6595992,6511226,6624886,6594886,6523735,6562715,6521034,6543323,6424023
30,31,1,511,6719291,6694524,6571590,6614410,6549002,6597818,6596268,6570044,6651785,6543521,6640827,6582562,6497843,6612015,6580945,6509855,6549293,6508200,6529657,6410009
31,0,1,511,6732641,6706825,6584024,6627239,6561498,6610551,6608573,6582610,6665498,6556156,6654423,6595217,6511290,6624600,6593673,6523619,6562413,6520847,6542675,6423163
32,31,1,511,6720694,6694911,6572168,6614982,6549080,6598582,6596336,6569594,6652781,6543767,6642165,6582518,6499650,6611813,6581775,6511585,6549952,6508336,6529780,6411159
33,0,1,511,6731971,6707154,6583920,6626751,6560982,6610294,6608291,6581836,6664503,6556579,6654395,6595000,6511640,6623761,6593882,6523718,6562104,6521165,6543018,6422549
34,31,1,511,6720300,6694918,6572246,6614143,6549216,6598531,6596490,6569689,6652717,6544256,6641542,6583266,6499210,6611888,6581066,6510811,6549227,6508007,6530356,6409664
35,0,1,511,6731621,6706571,6584135,6626087,6561680,6609917,6608293,6581877,6664844,6555994,6654237,6594624,6511602,6623932,6593121,6523442,6561926,6520271,6542614,6421541
36,31,1,511,6719232,6694988,6572656,6613960,6549906,6597607,6596510,6569423,6652240,6544720,6641473,6582716,6499394,6611391,6581447,6511139,6548613,6508578,6530724,6409505
37,0,1,511,6731358,6707300,6584334,6626352,6561593,6610349,6608580,6581336,6664394,6556818,6654255,6594799,6510961,6623250,6593616,6524471,6561800,6520883,6543399,6422526
38,31,1,511,6720328,6695318,6572305,6614471,6549165,6598148,6596108,6569744,6652302,6544229,6641718,6582607,6498841,6611406,6581604,6511580,6548557,6508710,6531106,6411086
39,0,1,511,6732834,6707816,6583939,6627333,6561210,6610569,6607886,6582229,6664325,6556522,6654121,6595379,6511624,6623707,6593285,6523909,6561448,6520854,6543632,6423112
40,31,1,511,6721531,6695983,6573424,6616282,6550001,6599480,6596212,6570318,6652950,6545725,6642792,6583902,6499546,6611385,6581777,6511334,6549685,6508838,6531259,6411019
41,0,1,511,6732782,6707397,6584936,6627657,6561614,6611362,6608040,6581645,6664491,6556944,6654273,6595227,6511984,6623318,6593853,6524130,6562203,6521231,6543606,6422735
42,31,1,511,6719290,6694055,6572445,6614708,6549193,6597940,6595467,6568716,6651598,6544162,6641295,6581553,6498173,6609315,6580094,6510323,6548430,6507670,6530099,6409249
43,0,1,511,6731644,6706972,6585081,6627721,6561744,6611443,6608855,6581657,6665304,6557803,6655042,6595236,6511357,6623131,6594051,6524190,6562488,6520991,6543291,6423159
44,31,1,511,6720119,6694710,6573519,6615580,6549902,6598560,6596294,6569439,6652736,6544942,6641678,6582747,6499236,6610759,6581131,6511840,6548851,6508048,6530800,6409909
45,0,1,511,6732605,6707591,6585577,6628119,6561578,6610703,6608253,6581739,6664521,6557105,6654438,6594919,6511717,6623493,6593803,6524462,6561682,6520956,6544250,6422063
46,31,1,511,6719602,6694413,6572543,6615001,6547995,6597450,6596086,6568647,6650549,6543574,6641556,6581199,6498607,6610570,6580032,6510763,6548489,6507168,6530124,6408336
47,0,1,511,6731978,6706488,6585295,6627640,6560963,6610349,6608336,6580821,6664290,6557073,6654349,6594418,6511397,6622751,6593393,6524512,6561211,6520238,6543310,6421242
48,31,1,511,6719707,6694519,6573304,6615157,6549072,6598276,6596199,6569147,6652045,6544623,6641802,6581918,6499098,6610666,6581094,6511931,6549260,6507766,6530723,6408720
49,0,1,511,6732110,6707061,6585782,6627666,6561464,6611227,6609652,6582234,6664863,6557868,6655329,6594869,6512057,6623290,6594117,6524720,6562546,6521226,6544304,6422041
50,31,1,511,6719528,6695603,6573388,6615518,6549839,6598834,6597133,6569990,6652293,6545515,6641878,6582501,6499227,6610447,6582106,6510938,6549292,6508389,6531760,6409284
51,0,1,511,6732764,6708085,6585760,6627847,6562092,6612036,6609614,6582780,6664826,6557713,6655066,6595435,6512456,6622955,6595243,6523851,6562270,6521506,6544978,6422147
52,31,1,511,6719249,6694803,6573174,6614986,6549561,6598901,6596079,6569522,6651463,6543936,6641889,6582246,6499403,6609492,6580325,6511122,6548812,6508424,6531211,6409584
53,0,1,511,6731299,6706400,6584571,6627154,6561736,6610930,6607693,6581493,6664040,6557239,6654290,6594226,6511022,6622799,6593069,6523482,6562287,6519939,6542796,6421732
54,31,1,511,6719387,6694469,6572286,6614767,6548777,6598692,6595398,6569387,6651664,6544854,6641465,6581776,6498721,6610548,6580684,6510852,6549394,6507595,6530256,6409445
55,0,1,511,6732877,6708170,6584824,6628697,6562500,6612244,6609312,6582944,6665582,6558227,6655877,6596143,6512883,6623653,6594189,6524661,6563471,6521991,6544468,6422706
56,31,1,511,6720215,6694255,6571475,6614573,6548783,6598858,6595180,6569638,6652562,6544244,6641845,6582103,6499745,6608880,6580899,6511145,6548855,6508653,6530176,6409337
57,0,1,511,6732650,6706623,6584366,6626553,6560918,6610971,6608182,6582194,6664946,6557182,6654384,6594823,6511695,6621768,6594237,6523960,6562006,6521095,6542542,6421946
58,31,1,511,6720600,6695071,6572149,6614244,6548824,6599141,6595024,6569262,6652066,6544514,6642191,6581633,6499917,6609719,6581501,6511150,6549868,6507984,6530423,6409184
59,0,1,511,6732736,6707995,6585323,6626468,6561139,6612239,6608887,6582095,6665432,6557697,6655484,6595032,6512610,6623721,6594284,6524124,6562626,6521480,6543482,6422224
60,31,1,511,6720270,6695142,6573021,6613722,6548613,6598981,6596182,6569517,6652388,6544060,6641747,6581698,6499228,6611233,6581464,6510651,6549507,6508136,6530077,6409734
61,0,1,511,6732265,6706713,6584400,6626573,6561767,6611605,6609123,6582635,6665134,6556734,6654673,6594961,6512351,6623598,6594522,6523683,6563080,6521291,6543512,6422481
62,31,1,511,6720745,6695624,6572534,6615104,6549551,6599424,6596954,6570042,6652925,6544291,6642532,6583211,6500270,6610727,6581938,6511001,6550833,6509081,6530688,6410530
63,0,1,511,6731091,6706885,6583794,6625620,6560099,6610063,6607118,6580698,6664011,6555347,6653891,6594088,6510620,6621696,6592425,6522081,6561375,6520355,6540954,6421624
64,31,1,511,6719979,6696383,6572561,6614041,6548551,6598618,6595953,6569630,6652213,6544514,6641914,6582913,6499094,6610112,6581207,6510620,6549281,6509130,6529323,6410123
65,0,1,511,6732433,6708533,6583732,6626957,6560281,6610631,6608291,6581849,6664585,6556875,6654493,6595763,6511361,6623211,6593224,6523625,6561744,6521449,6542045,6422476
66,31,1,511,6719449,6694989,6570948,6613721,6547588,6597700,6594821,6568809,6651180,6543794,6640726,6582636,6497774,6609812,6580077,6510153,6548377,6507739,6527818,6408655
67,0,1,511,6732318,6708010,6583675,6626948,6560674,6611210,6608070,6581901,6664622,6557391,6654313,6595107,6511048,6622730,6593763,6524249,6561843,6521175,6541631,6421481
68,31,1,511,6719784,6695957,6571858,6614621,6549651,6598534,6596323,6569503,6652487,6545418,6641528,6583399,6498781,6611070,6581199,6511658,6549255,6509074,6529928,6409665
69,0,1,511,6731433,6707996,6583443,6625578,6560857,6610043,6608520,6581422,6664430,6557553,6653615,6595840,6510187,6622449,6593564,6523409,6561522,6520470,6543006,6421218
70,31,1,511,6718843,6695220,6571057,6613084,6548408,6597565,6595328,6568838,6651740,6544354,6640915,6582312,6498292,6608948,6580524,6510579,6548159,6508114,6529235,6408588
